year,n_top20,n_21_100,mean_polkw_top20,mean_polkw_21_100,gap_polkw,share_any_top20,share_any_21_100,gap_any,mean_polshare_top20,mean_polshare_21_100,gap_polshare,mean_totalkw_top20,mean_totalkw_21_100,gap_totalkw,mean_metric_top20,mean_metric_21_100,median_metric_top20,median_metric_21_100,n_top50,n_51_100,mean_polkw_top50,mean_polkw_51_100,gap_polkw_50,share_any_top50,share_any_51_100,adj_ratio,adjusted_gap_resid
1985,20,80,1.8,0.5125,1.2875,0.7,0.2875,0.4125,0.1413061968082252,0.0533246517307082,0.087981545077517,14.9,8.65,6.25,118224335.65,15528730.1,65048336.5,12659429.0,50,50,1.1,0.44,0.6600000000000001,0.48,0.26,0.061556814214221996,0.7384048704756031
1986,20,80,0.9,0.75,0.15000000000000002,0.35,0.4125,-0.0625,0.0646479885057471,0.0805294480659183,-0.0158814595601712,13.1,10.0,3.0999999999999996,113261771.9,16830330.8,82179970.5,12306212.5,50,50,1.04,0.52,0.52,0.44,0.36,-0.006297709923664116,-0.019455723853786216
1987,20,80,1.85,0.825,1.0250000000000001,0.55,0.35,0.20000000000000007,0.1363208907965099,0.0780355890530489,0.05828530174346101,14.45,9.8375,4.612499999999999,123157522.75,19715132.2875,78720264.0,15604658.0,50,50,1.44,0.62,0.82,0.48,0.3,0.044164911648193195,0.6732571012011985
1988,20,80,0.75,0.6,0.15000000000000002,0.3,0.35,-0.04999999999999999,0.0520318314726209,0.0607854400501459,-0.008753608577524996,13.05,9.375,3.6750000000000007,149851875.75,20134780.1875,122070511.0,14901596.0,50,50,0.84,0.42,0.42,0.42,0.26,-0.00652873563218391,-0.08875498044445337
1989,20,80,0.85,0.725,0.125,0.45,0.325,0.125,0.0670459850606909,0.0902358581956063,-0.023189873134915398,13.45,9.4875,3.9624999999999986,199269817.35,23934007.6625,160595122.0,15552307.0,50,50,0.98,0.52,0.4599999999999999,0.44,0.26,-0.013219311263597669,-0.14840460873978667
1990,20,80,1.3,0.6,0.7000000000000001,0.55,0.3875,0.16250000000000003,0.0838629067011419,0.0811555336003865,0.002707373100755389,16.1,8.8625,7.237500000000001,222313640.65,23758706.3,201235165.5,16945687.0,50,50,0.92,0.56,0.36,0.48,0.36,0.01304435430884196,0.03189092980902264
1991,20,80,1.15,0.5375,0.6124999999999999,0.55,0.3375,0.21250000000000002,0.0697835497835497,0.0645438612313612,0.005239688552188496,13.4,8.3125,5.0875,194379032.8,23661517.375,177016398.0,16365871.0,50,50,0.76,0.56,0.1999999999999999,0.4,0.36,0.02115924138704972,0.20350988923499497
1992,20,80,1.4,0.6125,0.7874999999999999,0.5,0.3625,0.1375,0.0848543123543123,0.0766634625941691,0.008190849760143198,13.4,8.775,4.625,229228683.45,28570510.5875,180574455.0,21547352.0,50,50,1.08,0.46,0.6200000000000001,0.48,0.3,0.034677042139728706,0.43425059562314017
1993,20,80,1.5,0.4625,1.0375,0.65,0.2125,0.4375,0.1509816294816295,0.0479904396558775,0.10299118982575199,12.45,9.5875,2.862499999999999,242843412.1,32743130.3375,186132612.0,24431966.0,50,50,1.02,0.32,0.7,0.46,0.14,0.07224203201332058,0.8966678821293156
1994,20,80,1.5,0.6125,0.8875,0.45,0.325,0.125,0.0721500721500721,0.0632024052688352,0.00894766688123691,16.95,10.125,6.824999999999999,274723850.5,34952458.4125,214951403.0,24937309.5,50,50,1.0,0.58,0.42,0.4,0.3,0.028001748060745103,0.26910561388493603
1995,20,80,1.1,0.65,0.45000000000000007,0.4,0.3375,0.0625,0.0579523809523809,0.0539398449232641,0.004012536029116803,17.8,9.9,7.9,260983874.4,50152755.55,258478425.0,31229533.5,50,50,0.86,0.62,0.24,0.38,0.32,-0.0038588128475768937,-0.29795386582805017
1996,20,80,2.05,0.9,1.15,0.65,0.4375,0.21250000000000002,0.1140558001510013,0.0892420777651272,0.024813722385874093,16.5,9.6875,6.8125,274660895.3,44891844.825,237135993.5,32354711.5,50,50,1.66,0.6,1.06,0.6,0.36,0.03133919843597262,0.5331121194629939
1997,20,80,2.05,1.3625,0.6874999999999998,0.5,0.5,0.0,0.0970521914307493,0.0960534880631587,0.0009987033675905865,19.75,11.4625,8.2875,387836380.25,63333366.9375,255281111.5,43770867.5,50,50,1.88,1.12,0.7599999999999998,0.56,0.44,-0.015068398603039643,-0.10715553874784767
1998,20,80,1.6,0.7875,0.8125000000000001,0.55,0.425,0.12500000000000006,0.0890030846346635,0.0693370064918978,0.01966607814276569,14.7,11.2375,3.4624999999999986,296353719.9,63765733.425,274781402.0,49195439.0,50,50,1.18,0.72,0.4599999999999999,0.5,0.4,0.03876567312130638,0.5993556143825326
1999,20,80,0.75,0.775,-0.025000000000000022,0.5,0.375,0.125,0.0507196969696969,0.0601338940177254,-0.009414197048028497,15.85,11.5875,4.262499999999999,364200444.3,69075540.85,310737218.5,55567378.0,50,50,1.04,0.5,0.54,0.5,0.3,-0.019563804409597797,-0.33456074261317825
2000,20,80,0.9,0.7375,0.16249999999999998,0.5,0.3875,0.11249999999999999,0.0733423520923521,0.0647043199855699,0.008638032106782198,13.7,11.2,2.5,306228015.8,75946882.45,284720061.0,60409899.0,50,50,0.88,0.66,0.2199999999999999,0.42,0.4,-0.0001547836287799781,0.0653565438929967
2001,20,80,0.75,0.775,-0.025000000000000022,0.45,0.375,0.07500000000000001,0.0493926337966585,0.0817767913738308,-0.0323841575771723,16.1,10.1375,5.962500000000002,399054613.5,79895398.7,349509035.0,71313876.0,50,50,1.08,0.46,0.6200000000000001,0.5,0.28,-0.02986497767498144,-0.5394455012290638
2002,20,80,1.5,1.05,0.44999999999999996,0.7,0.4625,0.23749999999999993,0.0929502442002442,0.087027824971315,0.005922419228929193,16.25,11.8875,4.362500000000001,418366940.1,87820963.1625,355243619.0,74617144.0,50,50,1.5,0.78,0.72,0.62,0.4,0.003979616597913127,0.1283872127623577
2003,20,80,1.25,0.875,0.375,0.55,0.475,0.07500000000000007,0.0624936462005427,0.0835925214734189,-0.021098875272876204,17.65,11.625,6.024999999999999,422469584.95,101899130.7375,303669778.0,89291511.5,50,50,0.92,0.98,-0.0599999999999999,0.48,0.5,-0.004447287459258584,-0.1469780291193532
2004,20,80,0.95,0.7625,0.1875,0.45,0.4125,0.03750000000000003,0.0538979974274091,0.0612749975674368,-0.007377000140027699,17.6,12.0625,5.537500000000001,441942267.2,104170123.6125,355128299.0,96083411.0,50,50,0.68,0.92,-0.24,0.36,0.48,-0.009235162505887892,-0.2757243115750923
2005,20,80,0.55,0.925,-0.375,0.45,0.4125,0.03750000000000003,0.0386839716123603,0.06989423533338,-0.031210263721019704,13.55,12.8125,0.7375000000000007,418597143.85,96182649.8,352567967.0,90975447.0,50,50,0.76,0.94,-0.1799999999999999,0.44,0.4,-0.03160471604716048,-0.25972616960082834
2006,20,80,0.55,0.85,-0.29999999999999993,0.3,0.3375,-0.03750000000000003,0.0331649722826193,0.0615451243015097,-0.028380152018890402,14.5,13.0,1.5,419078137.35,104046880.45,363866427.5,99761162.5,50,50,0.72,0.86,-0.14,0.34,0.32,-0.02745358090185676,-0.2766230098623649
2007,20,80,1.35,0.7375,0.6125,0.5,0.375,0.125,0.0651219839455133,0.0508249605477198,0.014297023397793499,18.9,12.5375,6.362499999999999,514727755.95,109503309.2,449453240.5,88657786.0,50,50,0.9,0.82,0.08,0.42,0.38,0.012605042016806726,0.049846320273081446
2008,20,80,0.35,0.9875,-0.6375000000000001,0.3,0.4625,-0.16250000000000003,0.0315457203615098,0.0740469611865069,-0.0425012408249971,13.85,11.7625,2.0875000000000004,490133016.9,124724252.4875,419215543.5,107655079.0,50,50,0.74,0.98,-0.24,0.4,0.46,-0.05868248310998747,-0.68492877203109
2009,20,80,0.7,0.6625,0.03749999999999998,0.3,0.2625,0.03749999999999998,0.0480147058823529,0.0527594006870322,-0.004744694804679303,12.95,10.25,2.6999999999999993,649775702.4,117003961.825,456225420.5,96234285.5,50,50,0.84,0.5,0.3399999999999999,0.3,0.24,-0.01058009228740936,-0.08374754535593089
2010,20,80,0.45,0.8,-0.35000000000000003,0.4,0.3625,0.03750000000000003,0.0279210811118705,0.0808959331110066,-0.0529748519991361,14.2,9.3625,4.837499999999999,563982816.05,135183649.3875,494047232.0,105232933.0,50,50,0.78,0.68,0.0999999999999999,0.4,0.34,-0.05375712217228605,-0.7288599992038451
2011,20,80,1.2,0.7125,0.48749999999999993,0.4,0.375,0.025000000000000022,0.0817243867243867,0.0618064217051853,0.0199179650192014,11.85,12.075,-0.22499999999999964,604699857.5,138696333.525,557419936.5,132998393.0,50,50,0.78,0.84,-0.0599999999999999,0.36,0.4,0.042259611604685894,0.718774759909636
2012,20,80,0.85,0.8,0.04999999999999993,0.5,0.375,0.125,0.0633565779550686,0.0647828327436593,-0.0014262547885906945,16.65,11.225,5.424999999999999,693196895.0,141293279.225,616521670.5,114840525.5,50,50,0.98,0.64,0.3399999999999999,0.46,0.34,-0.02021843669950575,-0.39966576137257026
2013,20,80,1.0,0.6625,0.3375,0.5,0.35,0.15000000000000002,0.0738218031968032,0.0722577561327561,0.0015640470640471,11.95,8.9375,3.0124999999999993,661728958.15,148801019.125,615993904.0,120029544.0,50,50,0.78,0.68,0.0999999999999999,0.36,0.4,0.009556134242326722,0.17858981519261968
2014,20,80,0.8,1.025,-0.22499999999999987,0.55,0.4125,0.13750000000000007,0.06914242007992,0.0872739398544351,-0.018131519774515104,13.8,10.5875,3.2125000000000004,649129117.9,161854451.8,679778517.0,127032059.5,50,50,1.08,0.88,0.2,0.54,0.34,-0.03884126413770681,-0.40801427405630797
2015,20,80,0.4,0.9,-0.5,0.35,0.3125,0.03749999999999998,0.049585137085137,0.0727299003990345,-0.023144763313897497,10.9,9.725,1.1750000000000007,810582746.6,135166092.6625,600803064.0,106903310.0,50,50,0.7,0.9,-0.2,0.32,0.32,-0.055847739440107555,-0.4374538648328576
2016,20,80,0.4,0.7125,-0.3125,0.3,0.35,-0.04999999999999999,0.024291958041958,0.0749772090010092,-0.0506852509590512,12.3,9.7375,2.5625,732190702.95,170071207.525,718853683.0,146282086.5,50,50,0.6,0.7,-0.0999999999999999,0.34,0.34,-0.04065040650406504,-0.41717598399729316
2017,20,80,0.6,0.7625,-0.16249999999999998,0.25,0.3625,-0.11249999999999999,0.0435616670910788,0.0801165686953225,-0.03655490160424369,11.25,9.6625,1.5875000000000004,822353687.75,167403439.225,811690150.5,141356930.5,50,50,0.58,0.88,-0.3,0.28,0.4,-0.025579991375592928,-0.14966854890877085
2018,20,80,0.4,0.7875,-0.38749999999999996,0.25,0.4125,-0.16249999999999998,0.0326531862745098,0.0697692315721008,-0.037116045297591,12.7,10.125,2.5749999999999993,816636064.2,151883371.175,638765020.0,98391758.0,50,50,0.54,0.88,-0.3399999999999999,0.32,0.44,-0.04628171478565179,-0.49368248957535105
2019,20,80,0.3,0.6,-0.3,0.2,0.35,-0.14999999999999997,0.0300245098039215,0.0619658487641499,-0.031941338960228396,11.1,10.125,0.9749999999999996,916626030.0,135753585.75,780896462.5,114344270.0,50,50,0.52,0.56,-0.04,0.32,0.32,-0.032232232232232226,-0.2133497755839298
2020,20,80,1.1,0.3875,0.7125000000000001,0.35,0.275,0.07499999999999996,0.077828210436906,0.0909902360066833,-0.013162025569777289,11.25,7.075,4.175,212321746.5,17356942.6625,183800518.0,11692097.0,50,50,0.74,0.32,0.42,0.36,0.22,0.04300745975657637,0.4134847964332277
2021,20,80,0.65,0.55,0.09999999999999998,0.35,0.3375,0.012499999999999956,0.0927275699129246,0.0565881687756687,0.03613940113725591,10.35,9.15,1.1999999999999993,528994747.55,65444152.275,404032449.5,41266917.5,50,50,0.5,0.64,-0.14,0.34,0.34,0.0026926427496634167,0.1595331240110266
2022,20,80,0.6,0.5625,0.03749999999999998,0.3,0.3625,-0.0625,0.0706349206349206,0.0532324597487136,0.017402460886207005,9.5,10.95,-1.4499999999999993,681796705.75,69381048.1875,471215181.5,47430650.5,50,50,0.52,0.62,-0.0999999999999999,0.34,0.36,0.011788031723143473,0.41641230655931794
