keyword,count,cum_count,cum_share
<na>,1004374,1004374,0.4808000520832336
short_film,28952,1033326,0.49465955373094034
woman_director,15972,1049298,0.5023054490168333
gay_pornography,14776,1064074,0.5093788116980474
based_on_novel_or_book,6504,1070578,0.5124923167656312
anal_sex,5897,1076475,0.5153152471751548
lgbt,5185,1081660,0.5177973387765419
concert,5171,1086831,0.5202727284912522
murder,4909,1091740,0.5226226971838672
compilation,4691,1096431,0.5248683079268001
biography,4063,1100494,0.5268132911816575
silent_film,3789,1104283,0.5286271089401253
sports,3660,1107943,0.530379173599928
stand-up_comedy,3648,1111591,0.5321254937854363
musical,3613,1115204,0.5338550592542524
big_tits,3550,1118754,0.5355544662330227
gay_theme,3505,1122259,0.5372323314331889
softcore,3438,1125697,0.5388781233185445
christmas,3134,1128831,0.5403783885217744
coming_of_age,2892,1131723,0.5417628068267333
love,2797,1134520,0.5431017480435278
lesbian_sex,2777,1137297,0.5444311151364983
family,2731,1140028,0.5457384617446734
found_footage,2646,1142674,0.5470051183265964
world_war_ii,2644,1145318,0.5482708174961368
revenge,2522,1147840,0.5494781145103506
interracial_sex,2499,1150339,0.5506744012821667
experimental,2385,1152724,0.5518161155481857
pink_film,2239,1154963,0.552887938710289
based_on_true_story,2218,1157181,0.553949709042377
big_dick,2202,1159383,0.5550038200754058
new_york_city,2153,1161536,0.5560344745050657
friendship,2134,1163670,0.5570560335170927
romance,2123,1165793,0.5580723267610165
milf,2118,1167911,0.5590862264739842
anime,2056,1169967,0.5600704464030974
black_and_white,2014,1171981,0.56103456067218
france,1995,1173976,0.5619895795236299
threesome,1974,1175950,0.5629345455450644
martial_arts,1944,1177894,0.5638651503807629
based_on_play_or_musical,1927,1179821,0.564787617211211
bareback,1863,1181684,0.5656794468454219
erotic_movie,1725,1183409,0.566505215025247
gay_interest,1718,1185127,0.5673276322617335
california,1714,1186841,0.5681481346734554
sequel,1629,1188470,0.5689279470589249
philippines,1614,1190084,0.5697005788515264
japan,1554,1191638,0.5704444882726557
ghost,1547,1193185,0.5711850467504467
england,1538,1194723,0.5719212968725167
serial_killer,1510,1196233,0.5726441432212331
art,1449,1197682,0.5733377884922861
dark_comedy,1448,1199130,0.574030955057148
police,1443,1200573,0.5747217280910537
stop_motion,1441,1202014,0.5754115437125772
politics,1433,1203447,0.576097529684571
wrestling,1433,1204880,0.5767835156565647
music,1431,1206311,0.5774685442161761
death,1429,1207740,0.578152615363405
boxing,1424,1209164,0.5788342929796779
gonzo,1423,1210587,0.5795154918897597
nature,1417,1212004,0.5801938185626943
documentary,1411,1213415,0.5808692729984816
vampire,1410,1214825,0.5815442487280776
kidnapping,1405,1216230,0.5822168309267177
creampie,1374,1217604,0.5828745732334305
high_school,1348,1218952,0.5835198691791721
opera,1336,1220288,0.5841594206506192
mockumentary,1324,1221612,0.5847932276477719
zombie,1295,1222907,0.5854131521653796
horror,1270,1224177,0.5860211090282073
drugs,1268,1225445,0.5866281084786525
rape,1242,1226687,0.5872226615681266
slasher,1232,1227919,0.5878124275956886
superhero,1177,1229096,0.5883758647827344
religion,1174,1230270,0.5889378658512067
spain,1166,1231436,0.5894960372701492
italy,1165,1232601,0.5900537299829006
family_roleplay,1163,1233764,0.5906104652832695
suicide,1162,1234926,0.5911667218774473
blow_job,1155,1236081,0.5917196275282868
monster,1151,1237232,0.5922706183543613
dance,1146,1238378,0.5928192156494798
prison,1140,1239518,0.5933649407074512
lost_film,1128,1240646,0.593904921291128
drama,1127,1241773,0.5944444231686137
football_(soccer),1126,1242899,0.5949834463399082
dog,1119,1244018,0.5955191185678642
germany,1114,1245132,0.5960523972648643
oral_sex,1095,1246227,0.5965765805442315
holiday,1088,1247315,0.5970974128802603
alien,1085,1248400,0.5976168090977154
parent_child_relationship,1066,1249466,0.5981271098975377
paris,1062,1250528,0.5986354958725952
detective,1052,1251580,0.5991390947857407
anthology,1052,1252632,0.5996426936988861
avant-garde,1051,1253683,0.6001458139058404
surrealism,1050,1254733,0.6006484554066035
remake,1048,1255781,0.6011501394949841
time_travel,1037,1256818,0.6016465578152616
teenager,1031,1257849,0.6021401038983918
rimming,1029,1258878,0.6026326925691395
twink,1010,1259888,0.6031161858222545
school,990,1260878,0.6035901049515454
canada,982,1261860,0.6040601944313067
gangster,981,1262841,0.6045298052048766
marriage,981,1263822,0.6049994159784468
parody,977,1264799,0.605467111927252
satire,976,1265775,0.605934329169866
bdsm,974,1266749,0.6064005890000976
london,966,1267715,0.6068630191807997
mexico,961,1268676,0.6073230558305457
gore,957,1269633,0.6077811776555269
group_sex,954,1270587,0.6082378633619344
comedy,934,1271521,0.6086849749445179
independent_film,931,1272452,0.6091306504085279
fetish,927,1273379,0.609574411047773
pre-code,925,1274304,0.6100172142746356
small_town,920,1275224,0.6104576239705424
19th_century,916,1276140,0.6108961188416842
fairy_tale,915,1277055,0.6113341350066349
film_noir,911,1277966,0.6117702363468207
big_butt,906,1278872,0.6122039441560505
supernatural,902,1279774,0.6126357371405156
based_on_short_story,896,1280670,0.6130646578878334
magic,894,1281564,0.6134926212227688
