keyword,count,is_political,matched_rule
<na>,1004374,False,
short_film,28952,False,
woman_director,15972,False,
gay_pornography,14776,False,
based_on_novel_or_book,6504,False,
anal_sex,5897,False,
lgbt,5185,False,
concert,5171,False,
murder,4909,False,
compilation,4691,False,
biography,4063,False,
silent_film,3789,False,
sports,3660,False,
stand-up_comedy,3648,False,
musical,3613,False,
big_tits,3550,False,
gay_theme,3505,False,
softcore,3438,False,
christmas,3134,False,
coming_of_age,2892,False,
love,2797,False,
lesbian_sex,2777,False,
family,2731,False,
found_footage,2646,False,
world_war_ii,2644,True,war_security_intel
revenge,2522,False,
interracial_sex,2499,False,
experimental,2385,False,
pink_film,2239,False,
based_on_true_story,2218,False,
big_dick,2202,False,
new_york_city,2153,False,
friendship,2134,False,
romance,2123,False,
milf,2118,False,
anime,2056,False,
black_and_white,2014,False,
france,1995,False,
threesome,1974,False,
martial_arts,1944,False,
based_on_play_or_musical,1927,False,
bareback,1863,False,
erotic_movie,1725,False,
gay_interest,1718,False,
california,1714,False,
sequel,1629,False,
philippines,1614,False,
japan,1554,False,
ghost,1547,False,
england,1538,False,
serial_killer,1510,False,
art,1449,False,
dark_comedy,1448,False,
police,1443,True,migration_police_civilrights
stop_motion,1441,False,
politics,1433,True,institutions_elections_law
wrestling,1433,False,
music,1431,False,
death,1429,False,
boxing,1424,False,
gonzo,1423,False,
nature,1417,False,
documentary,1411,False,
vampire,1410,False,
kidnapping,1405,False,
creampie,1374,False,
high_school,1348,False,
opera,1336,False,
mockumentary,1324,False,
zombie,1295,False,
horror,1270,False,
drugs,1268,False,
rape,1242,False,
slasher,1232,False,
superhero,1177,False,
religion,1174,False,
spain,1166,False,
italy,1165,False,
family_roleplay,1163,False,
suicide,1162,False,
blow_job,1155,False,
monster,1151,False,
dance,1146,False,
prison,1140,True,migration_police_civilrights
lost_film,1128,False,
drama,1127,False,
football_(soccer),1126,False,
dog,1119,False,
germany,1114,False,
oral_sex,1095,False,
holiday,1088,False,
alien,1085,False,
parent_child_relationship,1066,False,
paris,1062,False,
detective,1052,False,
anthology,1052,False,
avant-garde,1051,False,
surrealism,1050,False,
remake,1048,False,
time_travel,1037,False,
teenager,1031,False,
rimming,1029,False,
twink,1010,False,
school,990,False,
canada,982,False,
gangster,981,False,
marriage,981,False,
parody,977,False,
satire,976,False,
bdsm,974,False,
london,966,False,
mexico,961,False,
gore,957,False,
group_sex,954,False,
comedy,934,False,
independent_film,931,False,
fetish,927,False,
pre-code,925,False,
small_town,920,False,
19th_century,916,False,
fairy_tale,915,False,
film_noir,911,False,
big_butt,906,False,
supernatural,902,False,
based_on_short_story,896,False,
magic,894,False,
los_angeles,893,False,
interview,893,False,
infidelity,877,False,
sibling_relationship,875,False,
cartoon,871,False,
student_film,867,False,
mixed_martial_arts,866,False,
1970s,861,False,
pro_wrestling,854,False,
theater_play,849,False,
lesbian,841,False,
combat_sports,832,True,war_security_intel
love_triangle,823,False,
live_performance,820,False,
husband_wife_relationship,816,False,
based_on_manga,811,False,
family_relationships,808,False,
africa,803,False,
based_on_comic,800,False,
road_trip,799,False,
masturbation,798,False,
spy,794,True,war_security_intel
australia,792,False,
college,791,False,
surreal,786,False,
dream,785,False,
racism,782,True,migration_police_civilrights
wedding,780,False,
1980s,771,False,
grief,769,False,
teenage_girl,765,False,
romantic_comedy,765,False,
prostitute,765,False,
doctor,761,False,
animation,758,False,
dystopia,754,False,
orgy,746,False,
1960s,745,False,
behind_the_scenes,745,False,
nazi,736,False,
concert_film,732,False,
artist,726,False,
filmmaking,722,False,
investigation,717,False,
relationship,717,False,
music_video,713,False,
incest,702,False,
robbery,695,False,
forest,695,False,
beach,694,False,
double_penetration,694,False,
pregnancy,693,False,
gangbang,692,False,
train,690,False,
facial,685,False,
hospital,682,False,
rock_'n'_roll,678,False,
space,677,False,
travel,677,False,
depression,676,True,economy_finance_crisis
india,673,False,
terrorism,670,True,war_security_intel
demon,670,False,
island,667,False,
friends,666,False,
teacher,658,False,
music_documentary,656,False,
movie_business,655,False,
queer,651,False,
punk_rock,650,False,
mental_health,648,False,
prostitution,645,False,
educational,644,False,
loneliness,643,False,
transsexual,643,False,
psychological_thriller,639,False,
documentary_film,634,False,
cheating,632,False,
making_of,631,False,
natural_tits,628,False,
china,623,False,
1940s,617,False,
seduction,616,False,
neo-noir,615,False,
jealousy,610,False,
writer,610,False,
feminism,609,False,
witch,606,False,
nature_documentary,605,False,
older_man_younger_woman_relationship,604,False,
robot,603,False,
mature,602,False,
father_son_relationship,600,False,
road_movie,598,False,
tattoo,598,False,
short,597,False,
duringcreditsstinger,591,False,
survival,591,False,
sports_documentary,587,False,
live,587,False,
boys'_love_(bl),581,False,
singer,580,False,
horse,580,False,
yakuza,578,False,
fight,577,False,
mafia,569,False,
loss_of_loved_one,567,False,
male_homosexuality,567,False,
pov_(point_of_view),563,False,
schoolgirl,562,False,
classical_music,561,False,
kung_fu,560,False,
super_power,555,False,
post-apocalyptic_future,555,False,
hotel,554,False,
torture,552,False,
mother_daughter_relationship,552,False,
thriller,552,False,
covid-19,550,False,
porn_parody,549,False,
killer,544,False,
1950s,540,False,
cult,537,False,
world_war_i,534,True,war_security_intel
debut,533,False,
desert,532,False,
adultery,532,False,
animal,532,False,
cat,532,False,
ebony,532,False,
escape,530,False,
1990s,530,False,
b_movie,530,False,
documentary_filmmaking,528,False,
slapstick_comedy,527,False,
texas,526,False,
poetry,524,False,
native_american,522,False,
usa,520,False,
jazz,519,False,
photographer,513,False,
family_drama,513,False,
money,511,False,
haunted_house,508,False,
argentina,508,False,
halloween,507,False,
lgbt_teen,507,False,
divorce,507,False,
ballet,504,False,
musician,503,False,
baseball,503,False,
lawyer,502,False,
corruption,501,True,inequality_corruption_elites
pornography,501,False,
soldier,499,True,war_security_intel
war,498,True,war_security_intel
military,496,True,war_security_intel
based_on_children's_book,494,False,
gang,494,False,
hollywood,492,False,
nightmare,490,False,
hip-hop,489,False,
mountain,488,False,
office,487,False,
1930s,486,False,
nurse,486,False,
indigenous,486,False,
conspiracy,485,False,
bbw,485,False,
photography,481,False,
experimental_cinema,481,False,
summer,480,False,
star_showcase,479,False,
orphan,476,False,
bullying,476,False,
experiment,474,False,
video_game,474,False,
voyeurism,472,False,
gambling,472,False,
food,471,False,
exploitation,471,False,
drug_addiction,470,False,
mental_illness,470,False,
female_friendship,469,False,
heist,467,False,
flashback,467,False,
bondage,467,False,
adult_animation,465,False,
childhood,465,False,
blackmail,465,False,
betrayal,464,False,
social_documentary,464,False,
future,461,False,
village,460,False,
poverty,460,True,inequality_corruption_elites
father_daughter_relationship,459,False,
couple,457,False,
heavy_metal,454,False,
christianity,453,False,
scientist,448,False,
obsession,446,False,
cancer,446,False,
mother,445,False,
lesbian_relationship,445,False,
psychopath,441,False,
alcoholism,441,False,
dancing,439,False,
berlin,438,False,
immigration,436,True,migration_police_civilrights
jungle,436,False,
hitman,434,False,
female_protagonist,433,False,
skateboarding,432,False,
male_masturbation,431,False,
samurai,430,False,
gun,429,False,
memory,428,False,
extramarital_affair,427,False,
muscled_men,427,False,
basketball,426,False,
architecture,424,False,
mother_son_relationship,423,False,
male_friendship,420,False,
cumshot,419,False,
priest,418,False,
sex_comedy,418,False,
circus,417,False,
greece,414,False,
true_crime,414,False,
tragedy,410,False,
daughter,410,False,
journalist,409,False,
based_on_video_game,409,False,
partially_lost_film,409,False,
ranch,408,False,
sex_toy,407,False,
low_budget,406,True,economy_finance_crisis
amateur,405,False,
older_woman_younger_man_relationship,404,False,
history,404,False,
female_ejaculation_(squirt),404,False,
nightclub,402,False,
cum_swallowing,400,False,
rural_area,399,False,
sheriff,396,False,
rough_sex,395,False,
