keyword,count,cum_count,cum_share
based_on_novel_or_book,1871,1871,0.010496611462681209
woman_director,1527,3398,0.019063327498765766
murder,1301,4699,0.02636214712086531
new_york_city,825,5524,0.03099053004802298
sequel,740,6264,0.035142049279655314
based_on_true_story,734,6998,0.03925990754454468
revenge,719,7717,0.04329361339257663
california,673,8390,0.04706925182891253
biography,668,9058,0.05081683945962928
france,608,9666,0.05422781742291639
england,556,10222,0.057347067007764464
love,539,10761,0.06037094385350747
friendship,532,11293,0.06335554957138369
duringcreditsstinger,525,11818,0.06630088416139311
christmas,514,12332,0.06918450697904044
martial_arts,457,12789,0.07174835061262959
musical,456,13245,0.07430658408509493
lgbt,448,13693,0.07681993626856963
serial_killer,441,14134,0.07929401732417755
anime,438,14572,0.08175126789641399
police,436,15008,0.08419729814640277
parent_child_relationship,430,15438,0.08660966742964858
high_school,429,15867,0.08901642655177057
sports,423,16290,0.09138952470714959
gay_theme,412,16702,0.09370091109016651
remake,402,17104,0.09595619586194515
based_on_comic,398,17502,0.0981890399892285
paris,392,17894,0.10038822314976886
family,390,18284,0.10257618598806158
los_angeles,382,18666,0.10471926753736367
world_war_ii,380,19046,0.10685112876441812
kidnapping,364,19410,0.10889322741349132
london,364,19774,0.11093532606256452
sibling_relationship,359,20133,0.11294937390601859
drugs,357,20490,0.114952201427225
japan,355,20845,0.11694380862618374
coming_of_age,354,21199,0.11892980566401867
husband_wife_relationship,351,21550,0.12089897221848211
italy,350,21900,0.12286252861182173
black_and_white,338,22238,0.12475876307167542
aftercreditsstinger,324,22562,0.12657645527579553
loss_of_loved_one,324,22886,0.12839414747991562
small_town,315,23201,0.13016134823392128
superhero,314,23515,0.13192293882680312
monster,313,23828,0.1336789192585611
dystopia,302,24130,0.135373187917957
prison,298,24428,0.1370450159328576
19th_century,290,24718,0.13867196265876755
detective,286,25004,0.1402764687401822
dog,283,25287,0.1418641443382254
suicide,280,25567,0.1434349894528971
holiday,275,25842,0.14497778376194964
death,273,26115,0.14650935774875454
based_on_play_or_musical,271,26386,0.14802971141331178
alien,270,26656,0.1495444549167452
dark_comedy,270,26926,0.15105919842017862
rape,269,27195,0.1525683317624882
investigation,266,27461,0.15406063462142633
1970s,265,27726,0.15554732731924062
magic,262,27988,0.1570171895336834
gangster,262,28250,0.15848705174812622
gore,256,28506,0.15992325299582605
slasher,252,28758,0.16133701359903058
zombie,251,29009,0.16274516404111125
neo-noir,247,29256,0.16413087383869665
1960s,239,29495,0.16547170234729142
ghost,236,29731,0.1667957003725147
supernatural,236,29967,0.168119698397738
wedding,233,30200,0.16942686593958978
romance,232,30432,0.17072842332031776
infidelity,228,30660,0.17200754005655042
hospital,228,30888,0.1732866567927831
vampire,227,31115,0.17456016336789193
family_relationships,226,31341,0.17582805978187693
psychopath,223,31564,0.17707912571249046
road_trip,220,31784,0.1783133611597325
time_travel,217,32001,0.17953076612360308
1980s,214,32215,0.18073134060410215
survival,213,32428,0.1819263049234774
prostitute,212,32640,0.18311565908172883
fight,211,32851,0.18429940307885642
1940s,211,33062,0.185483147075984
pregnancy,208,33270,0.18665006058974012
usa,205,33475,0.18780014362012476
torture,203,33678,0.18893900632826174
island,202,33880,0.1900722588752749
flashback,201,34081,0.1911999012611642
robbery,199,34280,0.1923163233248059
spain,198,34478,0.19342713522732372
terrorism,196,34674,0.19452672680759392
doctor,195,34869,0.19562070822674027
teacher,193,35062,0.19670346932363897
romantic_comedy,193,35255,0.19778623042053767
super_power,191,35446,0.19885777119518872
surrealism,191,35637,0.19992931196983976
adult_animation,191,35828,0.2010008527444908
lawyer,190,36018,0.20206678335801803
jealousy,189,36207,0.20312710381042143
action_hero,188,36395,0.204181814101701
based_on_manga,188,36583,0.20523652439298057
marriage,187,36770,0.2062856245231363
escape,185,36955,0.20732350433104438
scientist,184,37139,0.20835577397782865
spy,182,37321,0.20937682330236523
germany,182,37503,0.21039787262690185
creature,181,37684,0.2114133117903146
demon,181,37865,0.2124287509537274
found_footage,180,38045,0.21343857995601634
nazi,179,38224,0.21444279879718145
teenage_girl,177,38401,0.2154357973160989
love_triangle,177,38578,0.21642879583501637
school,176,38754,0.21741618419281003
film_noir,176,38930,0.21840357255060366
money,174,39104,0.21937974058614965
friends,173,39277,0.22035029846057178
1950s,172,39449,0.2213152461738701
corruption,171,39620,0.2222745837260446
fbi,171,39791,0.22323392127821912
desert,170,39961,0.22418764866926977
satire,169,40130,0.22513576589919662
father_daughter_relationship,168,40298,0.22607827296799965
hotel,168,40466,0.22702078003680265
daughter,168,40634,0.22796328710560568
father_son_relationship,167,40801,0.22890018401328485
future,166,40967,0.22983147075984023
mother_daughter_relationship,166,41133,0.23076275750639558
witch,164,41297,0.2316828239307033
stand-up_comedy,161,41458,0.23258605987163952
best_friend,158,41616,0.23347246532920427
