keyword,count,is_political,matched_rule
based_on_novel_or_book,1871,False,
woman_director,1527,False,
murder,1301,False,
new_york_city,825,False,
sequel,740,False,
based_on_true_story,734,False,
revenge,719,False,
california,673,False,
biography,668,False,
france,608,False,
england,556,False,
love,539,False,
friendship,532,False,
duringcreditsstinger,525,False,
christmas,514,False,
martial_arts,457,False,
musical,456,False,
lgbt,448,False,
serial_killer,441,False,
anime,438,False,
police,436,True,migration_police_civilrights
parent_child_relationship,430,False,
high_school,429,False,
sports,423,False,
gay_theme,412,False,
remake,402,False,
based_on_comic,398,False,
paris,392,False,
family,390,False,
los_angeles,382,False,
world_war_ii,380,True,war_security_intel
kidnapping,364,False,
london,364,False,
sibling_relationship,359,False,
drugs,357,False,
japan,355,False,
coming_of_age,354,False,
husband_wife_relationship,351,False,
italy,350,False,
black_and_white,338,False,
aftercreditsstinger,324,False,
loss_of_loved_one,324,False,
small_town,315,False,
superhero,314,False,
monster,313,False,
dystopia,302,False,
prison,298,True,migration_police_civilrights
19th_century,290,False,
detective,286,False,
dog,283,False,
suicide,280,False,
holiday,275,False,
death,273,False,
based_on_play_or_musical,271,False,
alien,270,False,
dark_comedy,270,False,
rape,269,False,
investigation,266,False,
1970s,265,False,
magic,262,False,
gangster,262,False,
gore,256,False,
slasher,252,False,
zombie,251,False,
neo-noir,247,False,
1960s,239,False,
ghost,236,False,
supernatural,236,False,
wedding,233,False,
romance,232,False,
infidelity,228,False,
hospital,228,False,
vampire,227,False,
family_relationships,226,False,
psychopath,223,False,
road_trip,220,False,
time_travel,217,False,
1980s,214,False,
survival,213,False,
prostitute,212,False,
fight,211,False,
1940s,211,False,
pregnancy,208,False,
usa,205,False,
torture,203,False,
island,202,False,
flashback,201,False,
robbery,199,False,
spain,198,False,
terrorism,196,True,war_security_intel
doctor,195,False,
teacher,193,False,
romantic_comedy,193,False,
super_power,191,False,
surrealism,191,False,
adult_animation,191,False,
lawyer,190,False,
jealousy,189,False,
action_hero,188,False,
based_on_manga,188,False,
marriage,187,False,
escape,185,False,
scientist,184,False,
spy,182,True,war_security_intel
germany,182,False,
creature,181,False,
demon,181,False,
found_footage,180,False,
nazi,179,False,
teenage_girl,177,False,
love_triangle,177,False,
school,176,False,
film_noir,176,False,
money,174,False,
friends,173,False,
1950s,172,False,
corruption,171,True,inequality_corruption_elites
fbi,171,True,war_security_intel
desert,170,False,
satire,169,False,
father_daughter_relationship,168,False,
hotel,168,False,
daughter,168,False,
father_son_relationship,167,False,
future,166,False,
mother_daughter_relationship,166,False,
witch,164,False,
stand-up_comedy,161,False,
best_friend,158,False,
conspiracy,158,False,
writer,156,False,
assassin,156,False,
extramarital_affair,155,False,
shootout,154,False,
1930s,154,False,
politics,154,True,institutions_elections_law
soldier,153,True,war_security_intel
adultery,153,False,
texas,152,False,
forest,151,False,
female_protagonist,149,False,
journalist,149,False,
hitman,148,False,
college,148,False,
post-apocalyptic_future,147,False,
religion,145,False,
experiment,144,False,
dream,143,False,
criminal,143,False,
heist,142,False,
parody,142,False,
beach,141,False,
racism,140,True,migration_police_civilrights
mexico,139,False,
obsession,139,False,
chase,138,False,
dying_and_death,138,False,
killer,138,False,
australia,137,False,
based_on_young_adult_novel,136,False,
betrayal,135,False,
gang,134,False,
hostage,133,True,war_security_intel
nightmare,133,False,
male_friendship,132,False,
haunted_house,131,False,
rescue,130,False,
robot,130,False,
mother_son_relationship,130,False,
female_friendship,129,False,
orphan,128,False,
china,128,False,
airplane,127,False,
space,127,False,
1990s,127,False,
florida,126,False,
male_homosexuality,125,False,
train,125,False,
neighbor,125,False,
relationship,123,False,
cia,123,True,war_security_intel
illinois,123,False,
divorce,123,False,
mental_illness,122,False,
hero,122,False,
explosion,122,False,
based_on_tv_series,121,False,
paranoia,119,False,
alcoholic,118,False,
transformation,118,False,
silent_film,117,False,
bullying,116,False,
sword_fight,116,False,
sheriff,116,False,
