keyword,count,matched_groups,primary_group
world_war_ii,2644,war_security_intel,war_security_intel
police,1443,migration_police_civilrights,migration_police_civilrights
politics,1433,institutions_elections_law,institutions_elections_law
prison,1140,migration_police_civilrights,migration_police_civilrights
combat_sports,832,war_security_intel,war_security_intel
spy,794,war_security_intel,war_security_intel
racism,782,migration_police_civilrights,migration_police_civilrights
depression,676,economy_finance_crisis,economy_finance_crisis
terrorism,670,war_security_intel,war_security_intel
world_war_i,534,war_security_intel,war_security_intel
corruption,501,inequality_corruption_elites,inequality_corruption_elites
soldier,499,war_security_intel,war_security_intel
war,498,war_security_intel,war_security_intel
military,496,war_security_intel,war_security_intel
poverty,460,inequality_corruption_elites,inequality_corruption_elites
immigration,436,migration_police_civilrights,migration_police_civilrights
low_budget,406,economy_finance_crisis,economy_finance_crisis
artificial_intelligence_(a.i.),394,war_security_intel,war_security_intel
army,359,war_security_intel,war_security_intel
immigrant,353,migration_police_civilrights,migration_police_civilrights
espionage,336,war_security_intel,war_security_intel
fbi,331,war_security_intel,war_security_intel
hostage,320,war_security_intel,war_security_intel
bank_robbery,320,economy_finance_crisis,economy_finance_crisis
refugee,320,migration_police_civilrights,migration_police_civilrights
communism,316,inequality_corruption_elites,inequality_corruption_elites
cold_war,313,war_security_intel,war_security_intel
soviet_union,305,labor_collective_action,labor_collective_action
revolution,299,labor_collective_action,labor_collective_action
vietnam_war,294,war_security_intel,war_security_intel
human_rights,294,migration_police_civilrights,migration_police_civilrights
police_officer,285,migration_police_civilrights,migration_police_civilrights
spanish_civil_war_(1936-39),278,war_security_intel,war_security_intel
home_invasion,274,war_security_intel,war_security_intel
cop,269,migration_police_civilrights,migration_police_civilrights
trial,266,institutions_elections_law,institutions_elections_law
alien_invasion,263,war_security_intel,war_security_intel
civil_war,262,war_security_intel,war_security_intel
cia,253,war_security_intel,war_security_intel
political_satire,249,institutions_elections_law,institutions_elections_law
political_documentary,238,institutions_elections_law,institutions_elections_law
battle,215,war_security_intel,war_security_intel
police_brutality,212,migration_police_civilrights,migration_police_civilrights
greed,200,inequality_corruption_elites,inequality_corruption_elites
debt,198,economy_finance_crisis,economy_finance_crisis
capitalism,193,inequality_corruption_elites,inequality_corruption_elites
activism,191,labor_collective_action,labor_collective_action
usa_president,191,institutions_elections_law,institutions_elections_law
marriage_crisis,190,economy_finance_crisis,economy_finance_crisis
prison_escape,188,migration_police_civilrights,migration_police_civilrights
women's_prison,187,migration_police_civilrights,migration_police_civilrights
party,185,institutions_elections_law,institutions_elections_law
police_corruption,184,inequality_corruption_elites;migration_police_civilrights,migration_police_civilrights
post_world_war_ii,181,war_security_intel,war_security_intel
protest,181,labor_collective_action,labor_collective_action
government,178,institutions_elections_law,institutions_elections_law
unemployment,176,economy_finance_crisis,economy_finance_crisis
judge,174,institutions_elections_law,institutions_elections_law
civil_rights,173,migration_police_civilrights,migration_police_civilrights
working_class,172,labor_collective_action,labor_collective_action
war_veteran,167,war_security_intel,war_security_intel
political_activism,164,institutions_elections_law;labor_collective_action,institutions_elections_law
vietnam_veteran,164,war_security_intel,war_security_intel
bank,156,economy_finance_crisis,economy_finance_crisis
terror,154,war_security_intel,war_security_intel
korean_war,151,war_security_intel,war_security_intel
surveillance,151,war_security_intel,war_security_intel
president,150,institutions_elections_law,institutions_elections_law
police_detective,149,migration_police_civilrights,migration_police_civilrights
fraud,148,inequality_corruption_elites,inequality_corruption_elites
election,147,institutions_elections_law,institutions_elections_law
socialism,146,inequality_corruption_elites,inequality_corruption_elites
communist,143,inequality_corruption_elites,inequality_corruption_elites
birthday_party,143,institutions_elections_law,institutions_elections_law
scandal,142,inequality_corruption_elites,inequality_corruption_elites
police_investigation,141,migration_police_civilrights,migration_police_civilrights
war_crimes,141,war_security_intel,war_security_intel
undercover_cop,133,migration_police_civilrights,migration_police_civilrights
dictatorship,131,institutions_elections_law,institutions_elections_law
prisoner_of_war,131,war_security_intel,war_security_intel
bank_robber,130,economy_finance_crisis,economy_finance_crisis
sex_worker,129,labor_collective_action,labor_collective_action
veteran,127,war_security_intel,war_security_intel
economics,125,economy_finance_crisis,economy_finance_crisis
court,124,institutions_elections_law,institutions_elections_law
us_army,123,war_security_intel,war_security_intel
no_budget,120,economy_finance_crisis,economy_finance_crisis
court_case,119,institutions_elections_law,institutions_elections_law
election_campaign,118,institutions_elections_law,institutions_elections_law
great_depression,118,economy_finance_crisis,economy_finance_crisis
presidential_election,118,institutions_elections_law,institutions_elections_law
buddy_cop,117,migration_police_civilrights,migration_police_civilrights
asylum,116,migration_police_civilrights,migration_police_civilrights
algerian_war_(1954-62),115,war_security_intel,war_security_intel
democracy,114,institutions_elections_law,institutions_elections_law
labor_union,114,labor_collective_action,labor_collective_action
american_civil_war,109,war_security_intel,war_security_intel
gang_war,107,war_security_intel,war_security_intel
political_corruption,105,institutions_elections_law;inequality_corruption_elites,institutions_elections_law
factory_worker,105,labor_collective_action,labor_collective_action
invasion,104,war_security_intel,war_security_intel
worker,103,labor_collective_action,labor_collective_action
midlife_crisis,102,economy_finance_crisis,economy_finance_crisis
illegal_immigration,102,migration_police_civilrights,migration_police_civilrights
house_party,101,institutions_elections_law,institutions_elections_law
discrimination,100,migration_police_civilrights,migration_police_civilrights
identity_crisis,98,economy_finance_crisis,economy_finance_crisis
military_dictatorship,98,institutions_elections_law;war_security_intel,war_security_intel
franco_regime_(francoism),97,institutions_elections_law,institutions_elections_law
political,95,institutions_elections_law,institutions_elections_law
russian_invasion_of_ukraine,92,war_security_intel,war_security_intel
economy,91,economy_finance_crisis,economy_finance_crisis
post_war,91,war_security_intel,war_security_intel
war_propaganda,90,war_security_intel,war_security_intel
strike,90,labor_collective_action,labor_collective_action
border,89,migration_police_civilrights,migration_police_civilrights
iraq_war,89,war_security_intel,war_security_intel
french_revolution,86,labor_collective_action,labor_collective_action
political_repression,85,institutions_elections_law,institutions_elections_law
apartheid,84,migration_police_civilrights,migration_police_civilrights
british_army,82,war_security_intel,war_security_intel
nazi_occupation,80,war_security_intel,war_security_intel
christmas_party,80,institutions_elections_law,institutions_elections_law
russo-ukrainian_war,79,war_security_intel,war_security_intel
court_métrage,79,institutions_elections_law,institutions_elections_law
coup_d'etat,79,labor_collective_action,labor_collective_action
financial_crisis,78,economy_finance_crisis,economy_finance_crisis
riot,77,labor_collective_action,labor_collective_action
combat,77,war_security_intel,war_security_intel
government_conspiracy,76,institutions_elections_law,institutions_elections_law
anti_war,76,war_security_intel,war_security_intel
usa_politics,75,institutions_elections_law,institutions_elections_law
guerrilla_warfare,74,war_security_intel,war_security_intel
police_chase,74,migration_police_civilrights,migration_police_civilrights
russian_revolution_(1917),74,labor_collective_action,labor_collective_action
sahrawi_refugee_camps,73,migration_police_civilrights,migration_police_civilrights
japanese_occupation_of_korea,72,war_security_intel,war_security_intel
gambling_debt,72,economy_finance_crisis,economy_finance_crisis
release_from_prison,71,migration_police_civilrights,migration_police_civilrights
bureaucracy,71,institutions_elections_law,institutions_elections_law
deportation,71,migration_police_civilrights,migration_police_civilrights
insane_asylum,71,migration_police_civilrights,migration_police_civilrights
political_thriller,71,institutions_elections_law,institutions_elections_law
terrorist_attack,71,war_security_intel,war_security_intel
refugee_camp,71,migration_police_civilrights,migration_police_civilrights
crisis,70,economy_finance_crisis,economy_finance_crisis
video_surveillance,69,war_security_intel,war_security_intel
dictator,69,institutions_elections_law,institutions_elections_law
political_assassination,69,institutions_elections_law,institutions_elections_law
bosnian_war_(1992-95),68,war_security_intel,war_security_intel
prison_break,67,migration_police_civilrights,migration_police_civilrights
nuclear_war,67,war_security_intel,war_security_intel
social_worker,67,labor_collective_action,labor_collective_action
dirty_cop,67,migration_police_civilrights,migration_police_civilrights
construction_worker,66,labor_collective_action,labor_collective_action
labor_strike,66,labor_collective_action,labor_collective_action
military_service,66,war_security_intel,war_security_intel
war_on_drugs,65,war_security_intel,war_security_intel
kgb,65,war_security_intel,war_security_intel
minister,64,institutions_elections_law,institutions_elections_law
one_man_army,64,war_security_intel,war_security_intel
royal_canadian_mounted_police_(mountie),64,migration_police_civilrights,migration_police_civilrights
labor,63,labor_collective_action,labor_collective_action
undocumented_immigrant,62,migration_police_civilrights,migration_police_civilrights
secret_service,62,war_security_intel,war_security_intel
demonstration,61,labor_collective_action,labor_collective_action
eta_terrorist_group,61,war_security_intel,war_security_intel
dinner_party,61,institutions_elections_law,institutions_elections_law
female_spy,60,war_security_intel,war_security_intel
billionaire,60,inequality_corruption_elites,inequality_corruption_elites
activist,60,labor_collective_action,labor_collective_action
wall_street,60,economy_finance_crisis,economy_finance_crisis
nuclear,58,war_security_intel,war_security_intel
racial_segregation,58,migration_police_civilrights,migration_police_civilrights
mexican_revolution,58,labor_collective_action,labor_collective_action
halloween_party,57,institutions_elections_law,institutions_elections_law
police_station,55,migration_police_civilrights,migration_police_civilrights
climate_change_activism,55,labor_collective_action,labor_collective_action
corporation,55,inequality_corruption_elites,inequality_corruption_elites
space_war,55,war_security_intel,war_security_intel
usa–mexico_border,55,migration_police_civilrights,migration_police_civilrights
cuban_revolution,54,labor_collective_action,labor_collective_action
nuclear_power_plant,54,war_security_intel,war_security_intel
soldiers,54,war_security_intel,war_security_intel
economic_crisis,53,economy_finance_crisis,economy_finance_crisis
war_documentary,53,war_security_intel,war_security_intel
intelligence,53,war_security_intel,war_security_intel
hostage_situation,52,war_security_intel,war_security_intel
nuclear_radiation,52,war_security_intel,war_security_intel
military_officer,52,war_security_intel,war_security_intel
new_york_state,51,institutions_elections_law,institutions_elections_law
race_politics,51,institutions_elections_law,institutions_elections_law
us_military,51,war_security_intel,war_security_intel
war_hero,51,war_security_intel,war_security_intel
police_inspector,51,migration_police_civilrights,migration_police_civilrights
bank_heist,51,economy_finance_crisis,economy_finance_crisis
afghanistan_war_(2001-_),50,war_security_intel,war_security_intel
nuclear_weapons,50,war_security_intel,war_security_intel
police_operation,49,migration_police_civilrights,migration_police_civilrights
banking,49,economy_finance_crisis,economy_finance_crisis
migrant_worker,49,labor_collective_action;migration_police_civilrights,migration_police_civilrights
state_crimes,49,institutions_elections_law,institutions_elections_law
prison_cell,48,migration_police_civilrights,migration_police_civilrights
murder_trial,48,institutions_elections_law,institutions_elections_law
space_battle,48,war_security_intel,war_security_intel
pacific_war,48,war_security_intel,war_security_intel
racist,48,migration_police_civilrights,migration_police_civilrights
uprising,48,labor_collective_action,labor_collective_action
loan_shark,48,economy_finance_crisis,economy_finance_crisis
social_activism,47,labor_collective_action,labor_collective_action
communist_propaganda,47,inequality_corruption_elites,inequality_corruption_elites
mental_asylum,47,migration_police_civilrights,migration_police_civilrights
gun_battle,47,war_security_intel,war_security_intel
police_chief,46,migration_police_civilrights,migration_police_civilrights
hand_to_hand_combat,46,war_security_intel,war_security_intel
military_history,46,war_security_intel,war_security_intel
embezzlement,46,inequality_corruption_elites,inequality_corruption_elites
korean_army,45,war_security_intel,war_security_intel
psychological_terror,45,war_security_intel,war_security_intel
syrian_refugee,45,migration_police_civilrights,migration_police_civilrights
stock_market,45,economy_finance_crisis,economy_finance_crisis
war_on_terror,45,war_security_intel,war_security_intel
spy_thriller,45,war_security_intel,war_security_intel
student_protest,44,labor_collective_action,labor_collective_action
fbi_agent,44,war_security_intel,war_security_intel
fictional_war,44,war_security_intel,war_security_intel
washington_state,44,institutions_elections_law,institutions_elections_law
prison_guard,44,migration_police_civilrights,migration_police_civilrights
feminist_activism,43,labor_collective_action,labor_collective_action
crisis_of_faith,43,economy_finance_crisis,economy_finance_crisis
nuclear_power,43,war_security_intel,war_security_intel
political_party,43,institutions_elections_law,institutions_elections_law
cultural_revolution,43,labor_collective_action,labor_collective_action
political_activist,43,institutions_elections_law;labor_collective_action,institutions_elections_law
terrorist_group,42,war_security_intel,war_security_intel
insurance_fraud,42,inequality_corruption_elites,inequality_corruption_elites
military_base,42,war_security_intel,war_security_intel
post_war_japan,41,war_security_intel,war_security_intel
social_class,41,inequality_corruption_elites,inequality_corruption_elites
u.s._soldier,41,war_security_intel,war_security_intel
national_socialism,41,inequality_corruption_elites,inequality_corruption_elites
street_riots,40,labor_collective_action,labor_collective_action
political_campaign,40,institutions_elections_law,institutions_elections_law
money_laundering,40,inequality_corruption_elites,inequality_corruption_elites
lgbt_activism,40,labor_collective_action,labor_collective_action
legal_drama,40,institutions_elections_law,institutions_elections_law
queer_activism,40,labor_collective_action,labor_collective_action
german_occupation,40,war_security_intel,war_security_intel
environmental_activist,39,labor_collective_action,labor_collective_action
bribery,39,inequality_corruption_elites,inequality_corruption_elites
ex_soldier,39,war_security_intel,war_security_intel
nuclear_missile,39,war_security_intel,war_security_intel
war_correspondent,39,war_security_intel,war_security_intel
totalitarian_regime,39,institutions_elections_law,institutions_elections_law
refugees,39,migration_police_civilrights,migration_police_civilrights
government_corruption,39,institutions_elections_law;inequality_corruption_elites,institutions_elections_law
union,39,labor_collective_action,labor_collective_action
european_union,39,labor_collective_action,labor_collective_action
immigrant_family,39,migration_police_civilrights,migration_police_civilrights
immigrant_experience,38,migration_police_civilrights,migration_police_civilrights
nuclear_bomb,38,war_security_intel,war_security_intel
occupation,37,war_security_intel,war_security_intel
lgbt_activist,37,labor_collective_action,labor_collective_action
british_secret_service,37,war_security_intel,war_security_intel
incarceration,37,migration_police_civilrights,migration_police_civilrights
border_patrol,37,migration_police_civilrights,migration_police_civilrights
military_veteran,37,war_security_intel,war_security_intel
black_panther_party,36,institutions_elections_law,institutions_elections_law
legal_thriller,36,institutions_elections_law,institutions_elections_law
custody_battle,36,war_security_intel,war_security_intel
taxes,36,economy_finance_crisis,economy_finance_crisis
great_patriotic_war,36,war_security_intel,war_security_intel
brazilian_politics,36,institutions_elections_law,institutions_elections_law
war_photographer,35,war_security_intel,war_security_intel
iraq_war_veteran,35,war_security_intel,war_security_intel
financial_problem,35,economy_finance_crisis,economy_finance_crisis
gulf_war,35,war_security_intel,war_security_intel
prime_minister,35,institutions_elections_law,institutions_elections_law
bachelor_party,35,institutions_elections_law,institutions_elections_law
political_scandal,35,institutions_elections_law;inequality_corruption_elites,institutions_elections_law
nazi_spy,35,war_security_intel,war_security_intel
communist_party,35,institutions_elections_law;inequality_corruption_elites,institutions_elections_law
police_interrogation,35,migration_police_civilrights,migration_police_civilrights
martial_law,35,institutions_elections_law,institutions_elections_law
space_invasion,34,war_security_intel,war_security_intel
terrorist_plot,34,war_security_intel,war_security_intel
trade_union,34,labor_collective_action,labor_collective_action
korea_president,34,institutions_elections_law,institutions_elections_law
police_shootout,34,migration_police_civilrights,migration_police_civilrights
refugee_crisis,34,economy_finance_crisis;migration_police_civilrights,economy_finance_crisis
racial_discrimination,33,migration_police_civilrights,migration_police_civilrights
falklands_war,33,war_security_intel,war_security_intel
farm_worker,33,labor_collective_action,labor_collective_action
alcatraz_prison,33,migration_police_civilrights,migration_police_civilrights
british_politics,33,institutions_elections_law,institutions_elections_law
corporate_greed,32,inequality_corruption_elites,inequality_corruption_elites
loan,32,economy_finance_crisis,economy_finance_crisis
debt_collector,32,economy_finance_crisis,economy_finance_crisis
bad_cop,32,migration_police_civilrights,migration_police_civilrights
nuclear_holocaust,32,war_security_intel,war_security_intel
sex_scandal,32,inequality_corruption_elites,inequality_corruption_elites
asylum_seekers,32,migration_police_civilrights,migration_police_civilrights
sexual_revolution,31,labor_collective_action,labor_collective_action
border_crossing,31,migration_police_civilrights,migration_police_civilrights
missile,31,war_security_intel,war_security_intel
sex_party,31,institutions_elections_law,institutions_elections_law
japanese_army,30,war_security_intel,war_security_intel
british_spy,30,war_security_intel,war_security_intel
corrupt_cop,30,migration_police_civilrights,migration_police_civilrights
inequality,30,inequality_corruption_elites,inequality_corruption_elites
evil_corporation,30,inequality_corruption_elites,inequality_corruption_elites
war_trauma,30,war_security_intel,war_security_intel
low_budget_film,30,economy_finance_crisis,economy_finance_crisis
rave_party,30,institutions_elections_law,institutions_elections_law
veterans,30,war_security_intel,war_security_intel
military_aviation,30,war_security_intel,war_security_intel
post_world_war_i,30,war_security_intel,war_security_intel
military_training,30,war_security_intel,war_security_intel
government_cover-up,29,institutions_elections_law,institutions_elections_law
female_soldier,29,war_security_intel,war_security_intel
aerial_combat,29,war_security_intel,war_security_intel
police_raid,29,migration_police_civilrights,migration_police_civilrights
pool_party,29,institutions_elections_law,institutions_elections_law
mexican_border,29,migration_police_civilrights,migration_police_civilrights
housing_crisis,29,economy_finance_crisis,economy_finance_crisis
war_in_ukraine,29,war_security_intel,war_security_intel
migrants,29,migration_police_civilrights,migration_police_civilrights
terrorist_bombing,28,war_security_intel,war_security_intel
prison_warden,28,migration_police_civilrights,migration_police_civilrights
soviet_military,28,war_security_intel,war_security_intel
held_hostage,28,war_security_intel,war_security_intel
political_unrest,28,institutions_elections_law,institutions_elections_law
bachelorette_party,28,institutions_elections_law,institutions_elections_law
japanese_occupation_of_china,28,war_security_intel,war_security_intel
police_officer_killed,28,migration_police_civilrights,migration_police_civilrights
government_agent,28,institutions_elections_law,institutions_elections_law
political_history,28,institutions_elections_law,institutions_elections_law
slovak_national_uprising_(1944),28,labor_collective_action,labor_collective_action
eve_of_world_war_ii,28,war_security_intel,war_security_intel
nuclear_catastrophe,28,war_security_intel,war_security_intel
russian_politics,28,institutions_elections_law,institutions_elections_law
child_labour,27,labor_collective_action,labor_collective_action
political_prisoner,27,institutions_elections_law,institutions_elections_law
law_student,27,institutions_elections_law,institutions_elections_law
court_martial,27,institutions_elections_law,institutions_elections_law
wedding_party,27,institutions_elections_law,institutions_elections_law
nuclear_fallout,27,war_security_intel,war_security_intel
german_soldier,27,war_security_intel,war_security_intel
labor_rights,27,labor_collective_action,labor_collective_action
syrian_civil_war,27,war_security_intel,war_security_intel
left_politics,27,institutions_elections_law,institutions_elections_law
workers_union,26,labor_collective_action,labor_collective_action
british_soldier,26,war_security_intel,war_security_intel
law_enforcement,26,institutions_elections_law;migration_police_civilrights,institutions_elections_law
red_army,26,war_security_intel,war_security_intel
world_war_iii,26,war_security_intel,war_security_intel
police_state,26,institutions_elections_law;migration_police_civilrights,institutions_elections_law
secret_intelligence_service,26,war_security_intel,war_security_intel
war_ship,26,war_security_intel,war_security_intel
power_politics,26,institutions_elections_law,institutions_elections_law
japanese_invasion_of_korea,26,war_security_intel,war_security_intel
range_war,26,war_security_intel,war_security_intel
parliament,26,institutions_elections_law,institutions_elections_law
pinochet_regime,26,institutions_elections_law,institutions_elections_law
prison_riot,26,labor_collective_action;migration_police_civilrights,migration_police_civilrights
military_coup,26,war_security_intel;labor_collective_action,war_security_intel
french_politics,26,institutions_elections_law,institutions_elections_law
surveillance_camera,25,war_security_intel,war_security_intel
second_sino-japanese_war_(1937-45),25,war_security_intel,war_security_intel
royal_court,25,institutions_elections_law,institutions_elections_law
cops,25,migration_police_civilrights,migration_police_civilrights
