year,N_hit,pol_total
2010,8,9
2014,11,15
2009,6,14
2012,9,15
1994,9,26
2019,4,6
1999,10,15
2001,9,14
2013,10,18
2015,7,8
2016,6,8
2002,12,24
2011,8,23
1995,8,18
2017,5,12
1985,14,35
2007,10,22
2000,10,16
1998,11,31
1980,8,11
1991,11,23
1993,13,29
1983,9,19
2018,5,7
2005,9,11
2006,6,10
1997,10,38
1982,9,26
2008,6,7
1971,13,18
1984,8,10
2004,9,17
1976,9,17
1988,5,14
1990,11,22
2003,11,23
2022,6,12
2020,7,21
1975,12,24
2021,7,13
1989,8,16
1996,13,38
1992,10,23
1986,7,17
1979,10,22
1987,11,36
1973,12,23
2023,3,6
1978,10,21
1981,11,29
1974,7,10
1977,5,14
1972,7,10
1970,9,19
