year,group,count,N,pol_total,group_rate,group_share_within_political
1970,institutions_elections_law,4,9,19,0.4444444444444444,0.21052631578947367
1970,labor_collective_action,1,9,19,0.1111111111111111,0.05263157894736842
1970,war_security_intel,14,9,19,1.5555555555555556,0.7368421052631579
1971,institutions_elections_law,2,13,18,0.15384615384615385,0.1111111111111111
1971,labor_collective_action,2,13,18,0.15384615384615385,0.1111111111111111
1971,migration_police_civilrights,8,13,18,0.6153846153846154,0.4444444444444444
1971,war_security_intel,6,13,18,0.46153846153846156,0.3333333333333333
1972,economy_finance_crisis,1,7,10,0.14285714285714285,0.1
1972,institutions_elections_law,2,7,10,0.2857142857142857,0.2
1972,labor_collective_action,3,7,10,0.42857142857142855,0.3
1972,migration_police_civilrights,1,7,10,0.14285714285714285,0.1
1972,war_security_intel,3,7,10,0.42857142857142855,0.3
1973,economy_finance_crisis,2,12,23,0.16666666666666666,0.08695652173913043
1973,inequality_corruption_elites,2,12,23,0.16666666666666666,0.08695652173913043
1973,institutions_elections_law,3,12,23,0.25,0.13043478260869565
1973,labor_collective_action,2,12,23,0.16666666666666666,0.08695652173913043
1973,migration_police_civilrights,10,12,23,0.8333333333333334,0.43478260869565216
1973,war_security_intel,4,12,23,0.3333333333333333,0.17391304347826086
1974,economy_finance_crisis,1,7,10,0.14285714285714285,0.1
1974,migration_police_civilrights,6,7,10,0.8571428571428571,0.6
1974,war_security_intel,3,7,10,0.42857142857142855,0.3
1975,economy_finance_crisis,2,12,24,0.16666666666666666,0.08333333333333333
1975,institutions_elections_law,4,12,24,0.3333333333333333,0.16666666666666666
1975,migration_police_civilrights,7,12,24,0.5833333333333334,0.2916666666666667
1975,war_security_intel,11,12,24,0.9166666666666666,0.4583333333333333
1976,inequality_corruption_elites,3,9,17,0.3333333333333333,0.17647058823529413
1976,institutions_elections_law,3,9,17,0.3333333333333333,0.17647058823529413
1976,migration_police_civilrights,2,9,17,0.2222222222222222,0.11764705882352941
1976,war_security_intel,9,9,17,1.0,0.5294117647058824
1977,institutions_elections_law,1,5,14,0.2,0.07142857142857142
1977,migration_police_civilrights,3,5,14,0.6,0.21428571428571427
1977,war_security_intel,10,5,14,2.0,0.7142857142857143
1978,institutions_elections_law,3,10,21,0.3,0.14285714285714285
1978,labor_collective_action,3,10,21,0.3,0.14285714285714285
1978,migration_police_civilrights,8,10,21,0.8,0.38095238095238093
1978,war_security_intel,7,10,21,0.7,0.3333333333333333
1979,economy_finance_crisis,2,10,22,0.2,0.09090909090909091
1979,migration_police_civilrights,5,10,22,0.5,0.22727272727272727
1979,war_security_intel,15,10,22,1.5,0.6818181818181818
1980,economy_finance_crisis,3,8,11,0.375,0.2727272727272727
