keyword,count,matched_groups
world_war_ii,2644,war_security_intel
police,1443,migration_police_civilrights
politics,1433,institutions_elections_law
prison,1140,migration_police_civilrights
combat_sports,832,war_security_intel
spy,794,war_security_intel
racism,782,migration_police_civilrights
depression,676,economy_finance_crisis
terrorism,670,war_security_intel
world_war_i,534,war_security_intel
corruption,501,inequality_corruption_elites
soldier,499,war_security_intel
war,498,war_security_intel
military,496,war_security_intel
poverty,460,inequality_corruption_elites
immigration,436,migration_police_civilrights
low_budget,406,economy_finance_crisis
artificial_intelligence_(a.i.),394,war_security_intel
army,359,war_security_intel
immigrant,353,migration_police_civilrights
espionage,336,war_security_intel
fbi,331,war_security_intel
hostage,320,war_security_intel
bank_robbery,320,economy_finance_crisis
refugee,320,migration_police_civilrights
communism,316,inequality_corruption_elites
cold_war,313,war_security_intel
soviet_union,305,labor_collective_action
revolution,299,labor_collective_action
vietnam_war,294,war_security_intel
human_rights,294,migration_police_civilrights
police_officer,285,migration_police_civilrights
spanish_civil_war_(1936-39),278,war_security_intel
home_invasion,274,war_security_intel
cop,269,migration_police_civilrights
trial,266,institutions_elections_law
alien_invasion,263,war_security_intel
civil_war,262,war_security_intel
cia,253,war_security_intel
political_satire,249,institutions_elections_law
political_documentary,238,institutions_elections_law
battle,215,war_security_intel
police_brutality,212,migration_police_civilrights
greed,200,inequality_corruption_elites
debt,198,economy_finance_crisis
capitalism,193,inequality_corruption_elites
usa_president,191,institutions_elections_law
activism,191,labor_collective_action
marriage_crisis,190,economy_finance_crisis
prison_escape,188,migration_police_civilrights
women's_prison,187,migration_police_civilrights
party,185,institutions_elections_law
police_corruption,184,inequality_corruption_elites;migration_police_civilrights
post_world_war_ii,181,war_security_intel
protest,181,labor_collective_action
government,178,institutions_elections_law
unemployment,176,economy_finance_crisis
judge,174,institutions_elections_law
civil_rights,173,migration_police_civilrights
working_class,172,labor_collective_action
war_veteran,167,war_security_intel
vietnam_veteran,164,war_security_intel
political_activism,164,institutions_elections_law;labor_collective_action
bank,156,economy_finance_crisis
terror,154,war_security_intel
surveillance,151,war_security_intel
korean_war,151,war_security_intel
president,150,institutions_elections_law
police_detective,149,migration_police_civilrights
