year,n_top20,n_21_200,mean_kw_top20,mean_kw_21_200,gap_kw_20_vs_21_200,share_any_top20,share_any_21_200,gap_any_20_vs_21_200,n_top50,n_51_200,mean_kw_top50,mean_kw_51_200,gap_kw_50_vs_51_200,share_any_top50,share_any_51_200,gap_any_50_vs_51_200
1970,20,100,1.0,0.48,0.52,0.45,0.34,0.10999999999999999,50,70,0.62,0.5285714285714286,0.09142857142857141,0.34,0.37142857142857144,-0.03142857142857142
1971,20,118,1.0,0.4830508474576271,0.5169491525423728,0.65,0.2966101694915254,0.3533898305084746,50,88,0.68,0.48863636363636365,0.1913636363636364,0.42,0.3068181818181818,0.11318181818181816
1972,20,125,0.55,0.416,0.13400000000000006,0.4,0.288,0.11200000000000004,50,95,0.48,0.4105263157894737,0.0694736842105263,0.36,0.2736842105263158,0.08631578947368418
1973,20,119,1.15,0.46218487394957986,0.6878151260504201,0.6,0.23529411764705882,0.36470588235294116,50,89,0.66,0.5056179775280899,0.15438202247191013,0.3,0.2808988764044944,0.019101123595505587
1974,20,115,0.5,0.5391304347826087,-0.03913043478260869,0.35,0.3217391304347826,0.028260869565217395,50,85,0.54,0.5294117647058824,0.010588235294117676,0.3,0.3411764705882353,-0.041176470588235314
1975,20,97,1.25,0.5670103092783505,0.6829896907216495,0.6,0.35051546391752575,0.24948453608247423,50,67,0.98,0.4626865671641791,0.5173134328358209,0.5,0.31343283582089554,0.18656716417910446
1976,20,115,0.95,0.45217391304347826,0.4978260869565217,0.45,0.28695652173913044,0.16304347826086957,50,85,0.76,0.38823529411764707,0.37176470588235294,0.4,0.25882352941176473,0.1411764705882353
1977,20,118,0.75,0.4915254237288136,0.2584745762711864,0.25,0.2627118644067797,-0.012711864406779683,50,88,0.54,0.5227272727272727,0.01727272727272733,0.26,0.26136363636363635,-0.0013636363636363447
1978,20,113,1.05,0.45132743362831856,0.5986725663716814,0.5,0.25663716814159293,0.24336283185840707,50,83,0.86,0.3493975903614458,0.5106024096385542,0.42,0.21686746987951808,0.2031325301204819
1979,20,111,1.15,0.4864864864864865,0.6635135135135134,0.55,0.2702702702702703,0.27972972972972976,50,81,0.76,0.48148148148148145,0.27851851851851855,0.44,0.2345679012345679,0.20543209876543211
1980,20,143,0.7,0.4405594405594406,0.2594405594405594,0.45,0.25874125874125875,0.19125874125874126,50,113,0.6,0.415929203539823,0.184070796460177,0.38,0.23893805309734514,0.14106194690265486
1981,20,157,1.65,0.4140127388535032,1.2359872611464966,0.55,0.22929936305732485,0.3207006369426752,50,127,1.08,0.3464566929133858,0.7335433070866142,0.38,0.2204724409448819,0.15952755905511812
1982,20,148,1.35,0.34459459459459457,1.0054054054054056,0.45,0.20945945945945946,0.24054054054054055,50,118,0.8,0.3220338983050847,0.4779661016949153,0.34,0.19491525423728814,0.14508474576271188
1983,20,146,1.05,0.5136986301369864,0.5363013698630137,0.45,0.2602739726027397,0.1897260273972603,50,116,0.72,0.5172413793103449,0.2027586206896551,0.36,0.25,0.10999999999999999
1984,20,147,0.55,0.5714285714285714,-0.021428571428571352,0.45,0.2925170068027211,0.15748299319727893,50,117,0.68,0.5213675213675214,0.15863247863247865,0.38,0.28205128205128205,0.09794871794871796
1985,20,180,1.8,0.49444444444444446,1.3055555555555556,0.7,0.26666666666666666,0.4333333333333333,50,150,1.1,0.4666666666666667,0.6333333333333334,0.48,0.25333333333333335,0.22666666666666663
1986,20,180,0.9,0.5388888888888889,0.36111111111111116,0.35,0.3,0.04999999999999999,50,150,1.04,0.42,0.6200000000000001,0.44,0.26,0.18
1987,20,180,1.85,0.6,1.25,0.55,0.32222222222222224,0.2277777777777778,50,150,1.44,0.4866666666666667,0.9533333333333333,0.48,0.3,0.18
1988,20,180,0.75,0.5277777777777778,0.2222222222222222,0.3,0.3111111111111111,-0.011111111111111127,50,150,0.84,0.4533333333333333,0.38666666666666666,0.42,0.2733333333333333,0.14666666666666667
1989,20,180,0.85,0.4722222222222222,0.37777777777777777,0.45,0.25,0.2,50,150,0.98,0.35333333333333333,0.6266666666666667,0.44,0.21333333333333335,0.22666666666666666
1990,20,180,1.3,0.55,0.75,0.55,0.35,0.20000000000000007,50,150,0.92,0.5266666666666666,0.3933333333333334,0.48,0.3333333333333333,0.14666666666666667
1991,20,180,1.15,0.43333333333333335,0.7166666666666666,0.55,0.31666666666666665,0.2333333333333334,50,150,0.76,0.42,0.34,0.4,0.32,0.08000000000000002
1992,20,180,1.4,0.49444444444444446,0.9055555555555554,0.5,0.3,0.2,50,150,1.08,0.42,0.6600000000000001,0.48,0.26666666666666666,0.21333333333333332
1993,20,180,1.5,0.5166666666666667,0.9833333333333333,0.65,0.2722222222222222,0.3777777777777778,50,150,1.02,0.48,0.54,0.46,0.26,0.2
1994,20,180,1.5,0.45,1.05,0.45,0.2833333333333333,0.16666666666666669,50,150,1.0,0.4066666666666667,0.5933333333333333,0.4,0.26666666666666666,0.13333333333333336
1995,20,180,1.1,0.5722222222222222,0.5277777777777779,0.4,0.3,0.10000000000000003,50,150,0.86,0.5466666666666666,0.31333333333333335,0.38,0.2866666666666667,0.09333333333333332
1996,20,180,2.05,0.6388888888888888,1.411111111111111,0.65,0.34444444444444444,0.3055555555555556,50,150,1.66,0.4866666666666667,1.1733333333333333,0.6,0.3,0.3
