year,n_top20,n_21_100,mean_polkw_top20,mean_polkw_21_100,gap_polkw,share_any_top20,share_any_21_100,gap_any,mean_polshare_top20,mean_polshare_21_100,gap_polshare,mean_totalkw_top20,mean_totalkw_21_100,gap_totalkw,mean_metric_top20,mean_metric_21_100,median_metric_top20,median_metric_21_100,n_top50,n_51_100,mean_polkw_top50,mean_polkw_51_100,gap_polkw_50,share_any_top50,share_any_51_100
1970,20,4,1.0,0.75,0.25,0.45,0.5,-0.04999999999999999,0.1041919191919192,0.10555555555555556,-0.0013636363636363585,9.3,4.75,4.550000000000001,35619577.45,799742.5,21955694.0,723200.0,24,0,0.9583333333333334,0.0,0.9583333333333334,0.4583333333333333,0.0
1971,20,10,1.0,0.7,0.30000000000000004,0.65,0.3,0.35000000000000003,0.0998638916048729,0.045116396761133604,0.054747494843739294,12.65,13.3,-0.6500000000000004,36582362.95,2472932.7,22244500.0,2268500.0,30,0,0.9,0.0,0.9,0.5333333333333333,0.0
1972,20,9,0.55,0.7777777777777778,-0.22777777777777775,0.4,0.5555555555555556,-0.15555555555555556,0.06416573622455976,0.10507455507455507,-0.04090881884999531,11.95,9.222222222222221,2.727777777777778,37038248.7,1137148.111111111,23500000.0,1000000.0,29,0,0.6206896551724138,0.0,0.6206896551724138,0.4482758620689655,0.0
1973,20,15,1.15,0.6666666666666666,0.4833333333333333,0.6,0.2,0.39999999999999997,0.09651050338550339,0.047241291634884316,0.049269211750619074,12.55,9.866666666666667,2.6833333333333336,62599766.2,2387946.933333333,25909000.0,1500000.0,35,0,0.9428571428571428,0.0,0.9428571428571428,0.42857142857142855,0.0
1974,20,10,0.5,1.3,-0.8,0.35,0.4,-0.050000000000000044,0.051341089466089465,0.07521978021978022,-0.023878690753690757,12.7,8.7,4.0,50778252.1,2611762.6,37505890.5,2934000.0,30,0,0.7666666666666667,0.0,0.7666666666666667,0.36666666666666664,0.0
1975,20,18,1.25,0.7222222222222222,0.5277777777777778,0.6,0.3888888888888889,0.21111111111111108,0.09823663101604277,0.06668847220317808,0.031548158812864685,11.15,9.166666666666666,1.9833333333333343,56607724.25,2248237.611111111,25321461.0,1470453.0,38,0,1.0,0.0,1.0,0.5,0.0
1976,20,16,0.95,0.625,0.32499999999999996,0.45,0.375,0.07500000000000001,0.10089646464646465,0.055048770673770675,0.045847693972693976,11.15,10.1875,0.9625000000000004,51011821.55,7041669.3125,34989448.0,6500000.0,36,0,0.8055555555555556,0.0,0.8055555555555556,0.4166666666666667,0.0
1977,20,18,0.75,0.5555555555555556,0.19444444444444442,0.25,0.3888888888888889,-0.1388888888888889,0.04005647130647131,0.06397306397306396,-0.02391659266659265,13.45,9.722222222222221,3.727777777777778,113947851.95,8976307.388888888,39987635.5,9000000.0,38,0,0.6578947368421053,0.0,0.6578947368421053,0.3157894736842105,0.0
1978,20,26,1.05,0.8461538461538461,0.2038461538461539,0.5,0.4230769230769231,0.07692307692307693,0.06072038255861785,0.06847417288593759,-0.007753790327319737,13.45,9.76923076923077,3.6807692307692292,80714637.5,11569607.038461538,49289634.5,10150000.0,46,0,0.9347826086956522,0.0,0.9347826086956522,0.45652173913043476,0.0
1979,20,25,1.15,0.6,0.5499999999999999,0.55,0.44,0.11000000000000004,0.09755826902566034,0.06816017316017317,0.029398095865487167,12.85,9.4,3.4499999999999993,83575334.1,19731553.04,80023838.5,20745728.0,45,0,0.8444444444444444,0.0,0.8444444444444444,0.4888888888888889,0.0
1980,20,46,0.7,0.5,0.19999999999999996,0.45,0.30434782608695654,0.14565217391304347,0.05703701021430929,0.04880403413012108,0.008232976084188215,14.65,9.043478260869565,5.606521739130436,96331008.6,13036165.630434783,63066313.0,10694501.5,50,16,0.6,0.4375,0.16249999999999998,0.38,0.25
1981,20,52,1.65,0.5,1.15,0.55,0.21153846153846154,0.3384615384615385,0.12275945760465883,0.047953389935855996,0.07480606766880282,14.2,9.98076923076923,4.219230769230769,83466414.35,13371108.865384616,52752629.0,11616457.5,50,22,1.08,0.22727272727272727,0.8527272727272728,0.38,0.13636363636363635
