year,rank,mojo_title,tmdb_title,domestic,pol_count,pol_share,total_kw,bucket
1990,1,Home Alone,Home Alone,285761243.0,1,0.07142857142857142,14,non_action
1990,2,Ghost,Ghost,217631306.0,2,0.16666666666666666,12,non_action
1990,3,Dances with Wolves,Dances with Wolves,184208848.0,0,0.0,24,non_action
1990,4,Pretty Woman,Pretty Woman,178406268.0,1,0.07692307692307693,13,non_action
1990,5,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,135265915.0,0,0.0,14,action
1990,6,The Hunt for Red October,The Hunt for Red October,122012643.0,8,0.5,16,action
1990,7,Total Recall,Total Recall,119412921.0,2,0.08,25,action
1990,8,Die Hard 2,Die Hard 2,117540947.0,2,0.08333333333333333,24,action
1990,9,Dick Tracy,Dick Tracy,103738726.0,3,0.17647058823529413,17,non_action
1990,10,Kindergarten Cop,Kindergarten Cop,91457688.0,1,0.125,8,non_action
1990,11,Back to the Future Part III,Back to the Future Part III,88277583.0,0,0.0,22,non_action
1990,12,The Godfather: Part III,The Godfather Part III,66666062.0,0,0.0,17,non_action
1990,13,Lionheart,Lionheart,24078196.0,0,0.0,15,action
1990,14,The Bonfire of the Vanities,The Bonfire of the Vanities,15691192.0,0,0.0,7,non_action
1990,15,Havana,Havana,9243140.0,1,0.2,5,non_action
1990,17,Metropolitan,Metropolitan,2960492.0,1,0.14285714285714285,7,non_action
1990,19,Frankenhooker,Frankenhooker,205068.0,0,0.0,8,non_action
1991,1,Beauty and the Beast,Beauty and the Beast,218967620.0,1,0.09090909090909091,11,non_action
1991,2,Terminator 2: Judgment Day,Terminator 2: Judgment Day,205881154.0,2,0.09523809523809523,21,action
1991,3,Robin Hood: Prince of Thieves,Robin Hood: Prince of Thieves,165493908.0,0,0.0,13,action
1991,4,The Silence of the Lambs,The Silence of the Lambs,130742922.0,1,0.08333333333333333,12,non_action
1991,5,City Slickers,City Slickers,124033791.0,1,0.14285714285714285,7,non_action
1991,6,Hook,Hook,119654823.0,0,0.0,12,non_action
1991,7,The Addams Family,The Addams Family,113502426.0,1,0.06666666666666667,15,non_action
1991,8,Sleeping with the Enemy,Sleeping with the Enemy,101599005.0,0,0.0,18,non_action
1991,9,The Naked Gun 2½: The Smell of Fear,The Naked Gun 2½: The Smell of Fear,86930411.0,2,0.16666666666666666,12,non_action
1991,10,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,78656813.0,0,0.0,13,action
1991,11,Hot Shots!,Hot Shots!,69467617.0,0,0.0,5,action
1991,12,My Girl,My Girl,59489799.0,0,0.0,15,non_action
1991,13,Boyz n the Hood,Boyz n the Hood,57504069.0,1,0.09090909090909091,11,non_action
1991,14,New Jack City,New Jack City,47624353.0,1,0.1,10,non_action
1991,15,The Rocketeer,The Rocketeer,46704056.0,0,0.0,13,action
1991,16,Thelma & Louise,Thelma & Louise,45360915.0,0,0.0,23,non_action
1991,17,Out for Justice,Out for Justice,39673161.0,3,0.2,15,action
1991,18,Freddy's Dead: The Final Nightmare,Freddy's Dead: The Final Nightmare,34872033.0,0,0.0,21,non_action
1991,19,White Fang,White Fang,34793160.0,0,0.0,15,action
1991,20,Jungle Fever,Jungle Fever,32482682.0,0,0.0,6,non_action
1991,21,The People Under the Stairs,The People Under the Stairs,24204154.0,1,0.04,25,non_action
1991,22,House Party 2,House Party 2,19438638.0,0,0.0,1,non_action
1991,23,For the Boys,For the Boys,17860280.0,0,0.0,3,non_action
1991,24,Hudson Hawk,Hudson Hawk,17218080.0,0,0.0,9,action
1991,25,Billy Bathgate,Billy Bathgate,15565363.0,0,0.0,2,non_action
1991,26,Madonna: Truth or Dare,Madonna: Truth or Dare,15012935.0,0,0.0,8,non_action
1991,27,Flight of the Intruder,Flight of the Intruder,14587732.0,2,0.3333333333333333,6,action
1991,28,The Marrying Man,The Marrying Man,12454768.0,0,0.0,2,action
1991,29,The Super,The Super,11000863.0,0,0.0,5,non_action
1991,30,Scenes from a Mall,Scenes from a Mall,9563393.0,0,,0,non_action
1991,31,Nothing But Trouble,Nothing but Trouble,8479793.0,1,0.07142857142857142,14,non_action
1991,32,Harley Davidson and the Marlboro Man,Harley Davidson and the Marlboro Man,7434726.0,1,0.2,5,action
1991,33,Rambling Rose,Rambling Rose,6266621.0,1,0.1111111111111111,9,non_action
1991,34,Delirious,Delirious,5546827.0,0,0.0,2,non_action
1991,37,Dutch,Dutch,4603929.0,0,0.0,7,non_action
1991,39,Life Stinks,Life Stinks,4102526.0,0,0.0,10,non_action
1991,41,Another You,Another You,2865916.0,0,0.0,4,non_action
1991,42,Return to the Blue Lagoon,Return to the Blue Lagoon,2807854.0,0,0.0,9,non_action
1991,43,Shadows and Fog,Shadows and Fog,2735731.0,0,0.0,2,non_action
1991,45,Cool as Ice,Cool as Ice,1193062.0,1,0.25,4,non_action
1991,47,Shakes the Clown,Shakes the Clown,115103.0,1,0.14285714285714285,7,non_action
1992,1,Aladdin,Aladdin,217350219.0,0,0.0,3,non_action
