year,rank,mojo_title,title_norm,domestic,imdb_id,source_row
1990,1,Home Alone,home_alone,285761243.0,,10
1990,2,Ghost,ghost,217631306.0,,7
1990,3,Dances with Wolves,dances_with_wolves,184208848.0,,2
1990,4,Pretty Woman,pretty_woman,178406268.0,,16
1990,5,Teenage Mutant Ninja Turtles,teenage_mutant_ninja_turtles,135265915.0,,17
1990,6,The Hunt for Red October,the_hunt_for_red_october,122012643.0,,11
1990,7,Total Recall,total_recall,119412921.0,,18
1990,8,Die Hard 2,die_hard_2,117540947.0,,4
1990,9,Dick Tracy,dick_tracy,103738726.0,,3
1990,10,Kindergarten Cop,kindergarten_cop,91457688.0,,12
1990,11,Back to the Future Part III,back_to_future_part_iii,88277583.0,,0
1990,12,The Godfather: Part III,the_godfather_part_iii,66666062.0,,8
1990,13,Lionheart,lionheart,24078196.0,,13
1990,14,The Bonfire of the Vanities,the_bonfire_of_vanities,15691192.0,,1
1990,15,Havana,havana,9243140.0,,9
1990,16,Paris Is Burning,paris_is_burning,3905297.0,,15
1990,17,Metropolitan,metropolitan,2960492.0,,14
1990,18,Slacker,slacker,1228108.0,,57
1990,19,Frankenhooker,frankenhooker,205068.0,,6
1991,1,Beauty and the Beast,beauty_and_beast,218967620.0,,21
1991,2,Terminator 2: Judgment Day,terminator_2_judgment_day,205881154.0,,61
1991,3,Robin Hood: Prince of Thieves,robin_hood_prince_of_thieves,165493908.0,,51
1991,4,The Silence of the Lambs,the_silence_of_lambs,130742922.0,,56
1991,5,City Slickers,city_slickers,124033791.0,,24
1991,6,Hook,hook,119654823.0,,34
1991,7,The Addams Family,the_addams_family,113502426.0,,19
1991,8,Sleeping with the Enemy,sleeping_with_enemy,101599005.0,,58
1991,9,The Naked Gun 2½: The Smell of Fear,the_naked_gun_2½_smell_of_fear,86930411.0,,45
1991,10,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,teenage_mutant_ninja_turtles_ii_secret_of_ooze,78656813.0,,60
1991,11,Hot Shots!,hot_shots,69467617.0,,35
1991,12,My Girl,my_girl,59489799.0,,44
1991,13,Boyz n the Hood,boyz_n_hood,57504069.0,,23
1991,14,New Jack City,new_jack_city,47624353.0,,46
1991,15,The Rocketeer,the_rocketeer,46704056.0,,52
1991,16,Thelma & Louise,thelma_louise,45360915.0,,62
1991,17,Out for Justice,out_for_justice,39673161.0,,48
1991,18,Freddy's Dead: The Final Nightmare,freddys_dead_final_nightmare,34872033.0,,31
1991,19,White Fang,white_fang,34793160.0,,64
1991,20,Jungle Fever,jungle_fever,32482682.0,,38
1991,21,The People Under the Stairs,the_people_under_stairs,24204154.0,,86
1991,22,House Party 2,house_party_2,19438638.0,,36
1991,23,For the Boys,for_boys,17860280.0,,30
1991,24,Hudson Hawk,hudson_hawk,17218080.0,,37
1991,25,Billy Bathgate,billy_bathgate,15565363.0,,22
1991,26,Madonna: Truth or Dare,madonna_truth_or_dare,15012935.0,,41
1991,27,Flight of the Intruder,flight_of_intruder,14587732.0,,5
1991,28,The Marrying Man,the_marrying_man,12454768.0,,43
1991,29,The Super,the_super,11000863.0,,59
1991,30,Scenes from a Mall,scenes_from_mall,9563393.0,,54
1991,31,Nothing But Trouble,nothing_but_trouble,8479793.0,,47
1991,32,Harley Davidson and the Marlboro Man,harley_davidson_and_marlboro_man,7434726.0,,32
