year,n_ranked_matched,n_top20_matched,n_21_100_matched,mean_domestic_top20,mean_domestic_21_100,median_domestic_top20,median_domestic_21_100,mean_polkw_top20,mean_polkw_21_100,gap_polkw,mean_polshare_top20,mean_polshare_21_100,gap_polshare,mean_totalkw_top20,mean_totalkw_21_100,gap_totalkw,share_any_top20,share_any_21_100
1997,59,20,39,136657344.65,24828026.384615384,101240437.0,25480490.0,1.9,1.0,0.8999999999999999,0.09352945968221109,0.10013577986976156,-0.006606320187550474,17.7,10.58974358974359,7.11025641025641,0.45,0.5384615384615384
1998,66,19,47,127284038.36842105,25611065.127659574,115821495.0,21485655.0,1.4736842105263157,0.8297872340425532,0.6438969764837625,0.08341044919992287,0.07171099149591285,0.011699457704010013,12.894736842105264,9.808510638297872,3.086226203807392,0.42105263157894735,0.3829787234042553
1999,100,20,80,168342116.55,41332668.6125,140287233.0,34103993.5,1.4,0.625,0.7749999999999999,0.07202114302086493,0.0601860239055603,0.011835119115304632,16.8,10.975,5.825000000000001,0.6,0.3375
2000,98,20,78,154923732.3,43998778.64102564,146606207.0,37109184.0,1.15,0.6538461538461539,0.49615384615384606,0.09221139971139972,0.0680633006594545,0.024148099051945218,13.2,10.705128205128204,2.494871794871795,0.5,0.34615384615384615
2001,97,19,78,176014292.15789473,42617444.461538464,170742341.0,36775632.5,0.7894736842105263,0.8205128205128205,-0.031039136302294157,0.05168445909035774,0.08651383819320108,-0.03482937910284334,14.789473684210526,10.807692307692308,3.9817813765182173,0.42105263157894735,0.41025641025641024
2002,97,20,77,198346683.65,51353695.51948052,167651434.5,41281092.0,1.35,1.12987012987013,0.22012987012987018,0.08892427017427017,0.09357244790067284,-0.0046481777264026775,14.75,12.376623376623376,2.3733766233766236,0.65,0.5194805194805194
2003,97,19,78,181187832.42105263,51283982.23076923,138608444.0,46155897.5,1.263157894736842,0.8333333333333334,0.42982456140350866,0.05139906977475035,0.08159258199352673,-0.030193512218776378,18.57894736842105,11.807692307692308,6.771255060728743,0.47368421052631576,0.44871794871794873
2004,95,19,76,203009833.63157895,51776778.84210526,173008894.0,51235134.0,0.8947368421052632,0.7368421052631579,0.1578947368421053,0.05088678091774067,0.06710147462385314,-0.016214693706112476,17.36842105263158,12.013157894736842,5.355263157894736,0.42105263157894735,0.4473684210526316
2005,98,20,78,180101663.4,42353172.76923077,168807507.5,36970171.5,0.9,0.7692307692307693,0.13076923076923075,0.05667153959992834,0.0515169557411526,0.005154583858775742,13.35,13.102564102564102,0.24743589743589745,0.6,0.3717948717948718
2006,98,19,79,170294424.68421054,43278106.24050633,148213377.0,39517763.0,1.0,0.6455696202531646,0.35443037974683544,0.055074543619435264,0.05141984546902384,0.0036546981504114243,14.31578947368421,11.708860759493671,2.6069287141905395,0.3157894736842105,0.3291139240506329
2007,88,20,68,199800462.85,32604413.5,165951965.5,20317561.5,1.05,0.6764705882352942,0.3735294117647059,0.05225174607527548,0.04959323834757945,0.002658507727696033,17.55,11.411764705882353,6.1382352941176475,0.45,0.3382352941176471
2008,99,20,79,196749911.25,52346909.60759494,153588348.5,42754105.0,0.8,0.9620253164556962,-0.16202531645569618,0.04958205184611718,0.08073680139753737,-0.031154749551420197,14.95,11.164556962025317,3.785443037974682,0.4,0.4430379746835443
2009,98,20,78,247349037.1,49966409.41025641,203690102.5,39021039.0,0.7,0.6282051282051282,0.07179487179487176,0.05156135531135532,0.052555128909618075,-0.0009937735982627552,12.1,10.012820512820513,2.087179487179487,0.3,0.2692307692307692
2010,97,20,77,211158083.35,60851563.766233765,174327190.5,57744720.0,0.45,0.6883116883116883,-0.2383116883116883,0.030540128730918204,0.07108992894790109,-0.04054980021698289,12.35,9.714285714285714,2.635714285714286,0.4,0.3246753246753247
2011,98,20,78,187195313.75,53901649.44871795,173181308.5,44262553.0,1.3,0.5384615384615384,0.7615384615384616,0.08846431346431347,0.0464852586891188,0.04197905477519467,12.45,11.884615384615385,0.5653846153846143,0.45,0.34615384615384615
2012,96,20,76,241514010.0,54862403.868421055,201726694.5,49069408.0,1.25,0.7105263157894737,0.5394736842105263,0.08357979224078296,0.05113368976699019,0.03244610247379277,16.35,11.855263157894736,4.494736842105265,0.55,0.35526315789473684
2013,98,20,78,230447562.05,58283092.48717949,204360925.5,55726977.5,0.9,0.6025641025641025,0.2974358974358975,0.06223575036075035,0.05625133884874144,0.0059844115120089095,12.85,9.512820512820513,3.337179487179487,0.45,0.3333333333333333
2014,99,20,79,218689137.3,61011560.81012658,204610829.0,52076908.0,0.75,0.9620253164556962,-0.21202531645569622,0.08140127233877234,0.0713040779153923,0.010097194423380043,13.7,10.594936708860759,3.10506329113924,0.55,0.379746835443038
2015,98,19,79,252842141.2631579,48127809.94936709,195042377.0,42656255.0,0.7894736842105263,0.8607594936708861,-0.07128580946035978,0.05697957013746487,0.07209327296408173,-0.015113702826616858,13.0,11.10126582278481,1.8987341772151893,0.3684210526315789,0.35443037974683544
2016,96,19,77,251511287.36842105,54063553.064935066,232641920.0,47695371.0,0.5263157894736842,0.7012987012987013,-0.17498291182501713,0.05069097569097569,0.07472968816350667,-0.024038712472530976,10.894736842105264,10.623376623376624,0.27136021872864013,0.3157894736842105,0.36363636363636365
2017,94,19,75,255506995.10526314,41796990.986666664,226008385.0,34121140.0,0.631578947368421,0.6933333333333334,-0.06175438596491234,0.03837678966677935,0.08172400390369769,-0.04334721423691834,12.052631578947368,9.186666666666667,2.8659649122807007,0.2631578947368421,0.37333333333333335
2018,96,20,76,202744818.1,46020274.276315786,189132835.5,40054284.0,0.3,0.9078947368421053,-0.6078947368421053,0.01931184012066365,0.08778607503607504,-0.06847423491541138,11.0,10.43421052631579,0.5657894736842106,0.25,0.47368421052631576
2019,98,19,79,305323663.57894737,53092445.50632911,211593228.0,44819352.0,0.42105263157894735,0.5569620253164557,-0.13590939373750832,0.04026602052917842,0.06626652910769787,-0.026000508578519446,12.894736842105264,10.063291139240507,2.831445702864757,0.3157894736842105,0.34177215189873417
