year,prevalence_any,mean_polshare,war_security_intel,institutions_elections_law,economy_finance_crisis,migration_police_civilrights,labor_collective_action,inequality_corruption_elites
1985,0.41379310344827586,0.08716420975766853,0.475,0.175,0.05,0.2375,0.0125,0.05
1986,0.38636363636363635,0.06496531506781683,0.6764705882352942,0.058823529411764705,0.029411764705882353,0.14705882352941177,0.04411764705882353,0.04411764705882353
1987,0.4431818181818182,0.1055812821631268,0.47959183673469385,0.08163265306122448,0.07142857142857142,0.2857142857142857,0.05102040816326531,0.030612244897959183
1988,0.3655913978494624,0.0749042445458889,0.4461538461538462,0.07692307692307693,0.0,0.35384615384615387,0.06153846153846154,0.06153846153846154
1989,0.31395348837209297,0.07967280843384805,0.36666666666666664,0.06666666666666667,0.016666666666666666,0.48333333333333334,0.0,0.06666666666666667
1990,0.4157303370786517,0.08744517658945551,0.4117647058823529,0.07352941176470588,0.058823529411764705,0.3235294117647059,0.058823529411764705,0.07352941176470588
1991,0.34408602150537637,0.05997604695185336,0.3333333333333333,0.18518518518518517,0.09259259259259259,0.2777777777777778,0.0,0.1111111111111111
1992,0.4065934065934066,0.08536426932451979,0.38571428571428573,0.15714285714285714,0.02857142857142857,0.32857142857142857,0.014285714285714285,0.08571428571428572
1993,0.2934782608695652,0.05757353580882694,0.3392857142857143,0.25,0.017857142857142856,0.26785714285714285,0.05357142857142857,0.07142857142857142
1994,0.34042553191489355,0.06922065347528471,0.4305555555555556,0.2222222222222222,0.06944444444444445,0.19444444444444445,0.013888888888888888,0.06944444444444445
1995,0.3763440860215054,0.061607491230895026,0.4225352112676056,0.15492957746478872,0.14084507042253522,0.2535211267605634,0.0,0.028169014084507043
1996,0.5051546391752577,0.09717715441872332,0.5128205128205128,0.26495726495726496,0.042735042735042736,0.15384615384615385,0.0,0.02564102564102564
1997,0.46808510638297873,0.09014742204470728,0.5109489051094891,0.2116788321167883,0.043795620437956206,0.1678832116788321,0.029197080291970802,0.0364963503649635
1998,0.45555555555555555,0.06968216118241541,0.4943820224719101,0.20224719101123595,0.06741573033707865,0.16853932584269662,0.02247191011235955,0.0449438202247191
1999,0.39361702127659576,0.06272024336059867,0.4266666666666667,0.22666666666666666,0.08,0.22666666666666666,0.013333333333333334,0.02666666666666667
2000,0.41052631578947363,0.06897569389674647,0.29333333333333333,0.2,0.13333333333333333,0.24,0.08,0.05333333333333334
2001,0.39361702127659565,0.07339671658248324,0.52,0.09333333333333334,0.09333333333333334,0.24,0.02666666666666667,0.02666666666666667
2002,0.53125,0.09188782168448002,0.5701754385964912,0.14035087719298245,0.06140350877192982,0.18421052631578946,0.017543859649122806,0.02631578947368421
2003,0.49473684210526314,0.07488007803185237,0.4891304347826087,0.20652173913043478,0.09782608695652174,0.15217391304347827,0.0,0.05434782608695652
2004,0.45161290322580644,0.06609407581589533,0.425,0.2125,0.05,0.2,0.025,0.0875
2005,0.42424242424242425,0.06557726676137461,0.47674418604651164,0.19767441860465115,0.10465116279069768,0.12790697674418605,0.046511627906976744,0.046511627906976744
2006,0.3229166666666667,0.055778818048232336,0.5333333333333333,0.14666666666666667,0.12,0.10666666666666667,0.06666666666666667,0.02666666666666667
2007,0.41237113402061853,0.05589625238349623,0.4418604651162791,0.19767441860465115,0.023255813953488372,0.19767441860465115,0.046511627906976744,0.09302325581395349
2008,0.41414141414141414,0.06392404874707341,0.4166666666666667,0.19047619047619047,0.07142857142857142,0.2619047619047619,0.023809523809523808,0.03571428571428571
2009,0.2580645161290322,0.0528529000916979,0.38095238095238093,0.23809523809523808,0.1111111111111111,0.19047619047619047,0.015873015873015872,0.06349206349206349
2010,0.3333333333333333,0.05862047759112184,0.4909090909090909,0.10909090909090909,0.10909090909090909,0.16363636363636364,0.03636363636363636,0.09090909090909091
2011,0.37894736842105264,0.0675290397983587,0.5443037974683544,0.22784810126582278,0.06329113924050633,0.11392405063291139,0.012658227848101266,0.0379746835443038
2012,0.43023255813953487,0.06353077985445353,0.4473684210526316,0.27631578947368424,0.039473684210526314,0.18421052631578946,0.05263157894736842,0.0
2013,0.38144329896907214,0.07202368221698116,0.4142857142857143,0.12857142857142856,0.1,0.2,0.05714285714285714,0.1
2014,0.43478260869565216,0.08290927689625714,0.6428571428571429,0.09523809523809523,0.023809523809523808,0.16666666666666666,0.0,0.07142857142857142
2015,0.3448275862068966,0.07907600009496925,0.4605263157894737,0.09210526315789473,0.09210526315789473,0.21052631578947367,0.05263157894736842,0.09210526315789473
2016,0.32967032967032966,0.05960980298237467,0.5084745762711864,0.2033898305084746,0.03389830508474576,0.15254237288135594,0.03389830508474576,0.06779661016949153
2017,0.30337078651685384,0.06761711825913198,0.5263157894736842,0.24561403508771928,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.017543859649122806
2018,0.3222222222222222,0.05294663030831913,0.5555555555555556,0.18518518518518517,0.05555555555555555,0.12962962962962962,0.037037037037037035,0.037037037037037035
2019,0.3333333333333333,0.05321263423535811,0.5957446808510638,0.0851063829787234,0.06382978723404255,0.23404255319148937,0.02127659574468085,0.0
2021,0.3333333333333333,0.06310348575049374,0.6097560975609756,0.04878048780487805,0.14634146341463414,0.0975609756097561,0.07317073170731707,0.024390243902439025
2022,0.3414634146341463,0.05024652223393852,0.4666666666666667,0.2222222222222222,0.06666666666666667,0.2,0.022222222222222223,0.022222222222222223
2023,0.27586206896551724,0.04144493437596883,0.6153846153846154,0.15384615384615385,0.0,0.19230769230769232,0.0,0.038461538461538464
