year,rank,mojo_title,title_norm,domestic,imdb_id,source_row
1985,1,Out of Africa,out_of_africa,225526205.0,,165
1985,2,Back to the Future,back_to_the_future,223334965.0,,166
1985,3,Rambo: First Blood Part II,rambo_first_blood_part_ii,150415432.0,,167
1985,4,Rocky IV,rocky_iv,127891353.0,,168
1985,5,The Color Purple,the_color_purple,94175854.0,,169
1985,6,Cocoon,cocoon,76113124.0,,170
1985,7,The Jewel of the Nile,the_jewel_of_the_nile,75973200.0,,171
1985,8,Witness,witness,68706993.0,,172
1985,9,The Goonies,the_goonies,61410901.0,,173
1985,10,Spies Like Us,spies_like_us,60088980.0,,174
1985,11,Police Academy 2: Their First Assignment,police_academy_2_their_first_assignment,55600000.0,,175
1985,12,Fletch,fletch,50612888.0,,176
1985,13,A View to a Kill,a_view_to_a_kill,50328158.0,,177
1985,14,National Lampoon's European Vacation,national_lampoons_european_vacation,49364621.0,,178
1985,15,Mask,mask,48230162.0,,179
1985,16,The Breakfast Club,the_breakfast_club,45876558.0,,180
1985,17,White Nights,white_nights,42160849.0,,181
1985,18,Pale Rider,pale_rider,41410568.0,,182
1985,19,Pee-wee's Big Adventure,peewees_big_adventure,40940662.0,,183
1985,20,Brewster's Millions,brewsters_millions,40833132.0,,184
1985,21,E.T. the Extra-Terrestrial 1985 Re-release,et_the_extraterrestrial_1985_rerelease,40607502.0,,185
1985,22,Jagged Edge,jagged_edge,40491165.0,,186
1985,23,St. Elmo's Fire,st_elmos_fire,37803872.0,,187
1985,24,Mad Max Beyond Thunderdome,mad_max_beyond_thunderdome,36230925.0,,188
1985,25,Commando,commando,35100000.0,,189
1985,26,Teen Wolf,teen_wolf,33087306.0,,190
1985,27,One Hundred and One Dalmatians 1985 Re-release,one_hundred_and_one_dalmatians_1985_rerelease,33049729.0,,191
1985,28,Silverado,silverado,32192570.0,,192
1985,29,Murphy's Romance,murphys_romance,30867525.0,,193
1985,30,A Nightmare on Elm Street 2: Freddy's Revenge,a_nightmare_on_elm_street_2_freddys_revenge,29999213.0,,194
1985,31,Desperately Seeking Susan,desperately_seeking_susan,27398584.0,,195
1985,32,Prizzi's Honor,prizzis_honor,26657534.0,,196
1985,33,The Last Dragon,the_last_dragon,25755277.0,,197
1985,34,Agnes of God,agnes_of_god,25627836.0,,198
1985,35,Fright Night,fright_night,24923585.0,,199
1985,36,Summer Rental,summer_rental,24689703.0,,200
1985,37,The Emerald Forest,the_emerald_forest,24468550.0,,201
1985,38,Weird Science,weird_science,23834048.0,,202
1985,39,Santa Claus: The Movie,santa_claus_the_movie,23717291.0,,203
1985,40,The Care Bears Movie,the_care_bears_movie,22934622.0,,204
1985,41,Friday the 13th: A New Beginning,friday_the_13th_a_new_beginning,21930418.0,,205
