year,bucket,n_top20,n_21_100,mean_polshare_top20,mean_polshare_21_100,gap_polshare,mean_polkw_top20,mean_polkw_21_100,gap_polkw,mean_totalkw_top20,mean_totalkw_21_100
1985,action,3,21,0.14115429057957793,0.10966791979949875,0.03148637078007918,3.6666666666666665,1.0952380952380953,2.571428571428571,25.666666666666668,9.666666666666666
1985,non_action,17,46,0.13292964244521338,0.0572505748017257,0.07567906764348768,1.3529411764705883,0.5,0.8529411764705883,13.176470588235293,8.043478260869565
1986,action,6,17,0.11827107279693487,0.09008405333617342,0.02818701946076145,2.6666666666666665,1.2941176470588236,1.372549019607843,18.5,12.764705882352942
1986,non_action,14,51,0.09325396825396826,0.04255562405717204,0.05069834419679622,0.6428571428571429,0.4117647058823529,0.23109243697478998,9.785714285714286,10.215686274509803
1987,action,7,13,0.21040111848935375,0.18761312217194573,0.02278799631740802,3.5714285714285716,1.4615384615384615,2.1098901098901104,18.0,7.769230769230769
1987,non_action,12,56,0.07035818713450293,0.07984635364030561,-0.009488166505802684,0.5833333333333334,0.8392857142857143,-0.25595238095238093,11.833333333333334,10.482142857142858
1988,action,3,14,0.202020202020202,0.17040637933495079,0.0316138226852512,3.0,1.8571428571428572,1.1428571428571428,14.333333333333334,11.357142857142858
1988,non_action,17,59,0.020661334709322327,0.06028866966366967,-0.039627334954347344,0.29411764705882354,0.423728813559322,-0.12961116650049848,13.176470588235293,8.05084745762712
1989,action,5,18,0.17921568627450982,0.12391442406922282,0.055301262205287,1.8,0.7222222222222222,1.077777777777778,15.4,8.944444444444445
1989,non_action,15,48,0.03206349206349206,0.06747727959577916,-0.035413787532287105,0.4,0.6666666666666666,-0.2666666666666666,11.8,9.833333333333334
1990,action,7,15,0.12772893772893773,0.22110297110297109,-0.09337403337403336,2.142857142857143,1.3333333333333333,0.8095238095238095,17.571428571428573,7.866666666666666
1990,non_action,12,55,0.05831851971557853,0.050855310677730206,0.007463209037848327,0.75,0.43636363636363634,0.31363636363636366,15.583333333333334,9.054545454545455
1991,action,6,17,0.04712301587301587,0.13684613997113995,-0.08972312409812408,0.8333333333333334,1.2352941176470589,-0.4019607843137255,14.0,9.941176470588236
1991,non_action,13,57,0.07278971028971029,0.03645884869099155,0.03633086159871874,1.1538461538461537,0.22807017543859648,0.9257759784075572,12.461538461538462,7.5964912280701755
1992,action,6,13,0.1903873903873904,0.14596599981215366,0.044421390575236724,3.0,0.9230769230769231,2.0769230769230766,14.0,8.076923076923077
1992,non_action,14,58,0.06870748299319727,0.06440739966555184,0.004300083327645435,1.0,0.4482758620689655,0.5517241379310345,12.857142857142858,7.637931034482759
1993,action,6,16,0.13908313908313907,0.05464442355889724,0.08443871552424184,1.8333333333333333,0.4375,1.3958333333333333,16.333333333333332,8.75
1993,non_action,14,56,0.12383172383172383,0.03302570940031755,0.09080601443140629,1.0,0.42857142857142855,0.5714285714285714,11.785714285714286,9.696428571428571
1994,action,7,19,0.16097711811997525,0.054708517855069576,0.10626860026490567,3.0,0.7894736842105263,2.2105263157894735,16.714285714285715,11.789473684210526
1994,non_action,12,56,0.05109427609427609,0.06650641025641026,-0.015412134162134168,0.8333333333333334,0.4642857142857143,0.36904761904761907,14.0,7.928571428571429
1995,action,7,21,0.10821428571428572,0.07796219715956558,0.03025208855472014,1.8571428571428572,0.9523809523809523,0.9047619047619049,14.0,11.571428571428571
1995,non_action,12,53,0.015586843711843712,0.059545913856258674,-0.04395907014441496,0.25,0.660377358490566,-0.410377358490566,14.5,9.735849056603774
1996,action,8,21,0.16800820707070707,0.08013797796406492,0.08787022910664215,3.375,1.1904761904761905,2.1845238095238093,19.625,12.904761904761905
1996,non_action,12,56,0.04475419553786427,0.10468161497054962,-0.05992741943268535,0.8333333333333334,0.9821428571428571,-0.14880952380952372,12.75,9.214285714285714
1997,action,8,21,0.17069233607421463,0.1676060132552407,0.0030863228189739467,3.875,2.5714285714285716,1.3035714285714284,19.75,15.0
1997,non_action,11,54,0.012987012987012986,0.06380991782206616,-0.050822904835053175,0.09090909090909091,0.9444444444444444,-0.8535353535353535,16.09090909090909,10.37037037037037
1998,action,6,18,0.161996336996337,0.08144710630217876,0.08054923069415824,2.6666666666666665,1.0555555555555556,1.611111111111111,17.833333333333332,15.0
1998,non_action,13,53,0.04549361569604485,0.061168897489652214,-0.015675281793607367,1.0,0.7735849056603774,0.2264150943396226,13.0,10.30188679245283
1999,action,4,13,0.07386363636363637,0.12795878585352266,-0.05409514948988629,0.75,1.3846153846153846,-0.6346153846153846,15.25,14.0
1999,non_action,16,61,0.04247065793402,0.05295357990396813,-0.010482921969948128,0.875,0.6557377049180327,0.21926229508196726,16.25,10.344262295081966
2000,action,9,14,0.07867564534231201,0.05306122448979592,0.02561442085251609,1.2222222222222223,0.42857142857142855,0.7936507936507937,15.88888888888889,8.714285714285714
2000,non_action,10,62,0.0711147186147186,0.07081622230815779,0.0002984963065608137,0.6,0.8387096774193549,-0.2387096774193549,11.0,11.935483870967742
2001,action,7,24,0.03835978835978836,0.1677964913984651,-0.12943670303867671,0.5714285714285714,1.6666666666666667,-1.0952380952380953,14.714285714285714,10.916666666666666
2001,non_action,12,51,0.05994451311788773,0.036110074136389926,0.023834438981497806,0.9166666666666666,0.39215686274509803,0.5245098039215685,16.666666666666668,10.019607843137255
2002,action,8,19,0.12265338827838829,0.18053474733041294,-0.057881359052024656,2.375,2.3157894736842106,0.05921052631578938,19.375,13.157894736842104
2002,non_action,12,57,0.07314814814814814,0.061966066639076396,0.011182081509071747,0.9166666666666666,0.7017543859649122,0.2149122807017544,14.166666666666666,11.842105263157896
2003,action,10,25,0.06922971664350974,0.12579487179487178,-0.05656515515136204,1.8,1.32,0.48,23.0,12.24
2003,non_action,8,52,0.04886363636363636,0.055043381621260046,-0.006179745257623687,0.75,0.6730769230769231,0.07692307692307687,14.25,11.557692307692308
2004,action,9,24,0.03678913678913679,0.09569231315714692,-0.05890317636801013,1.1111111111111112,1.0833333333333333,0.0277777777777779,22.0,12.625
2004,non_action,11,49,0.08088316911846323,0.05337162341059653,0.0275115457078667,1.0909090909090908,0.6530612244897959,0.43784786641929496,14.818181818181818,11.959183673469388
2005,action,8,16,0.05406923639020826,0.1544237012987013,-0.10035446490849305,0.75,1.875,-1.125,15.125,13.5625
2005,non_action,12,63,0.02842712842712843,0.051214597748978054,-0.022787469321849625,0.4166666666666667,0.7142857142857143,-0.2976190476190476,12.5,12.841269841269842
2006,action,7,18,0.040630797773654914,0.12671140285519372,-0.08608060508153881,0.7142857142857143,1.3333333333333333,-0.619047619047619,16.142857142857142,12.444444444444445
2006,non_action,12,59,0.03157365510306687,0.04085867517939722,-0.009285020076330357,0.5,0.6779661016949152,-0.17796610169491522,13.416666666666666,13.152542372881356
2007,action,9,17,0.0774439026073013,0.10281441125094375,-0.025370508643642445,1.8888888888888888,1.6470588235294117,0.24183006535947715,22.11111111111111,13.588235294117647
2007,non_action,11,60,0.05504041413132322,0.03929070936528044,0.01574970476604278,0.9090909090909091,0.5166666666666667,0.39242424242424234,16.272727272727273,12.666666666666666
2008,action,9,26,0.03787878787878787,0.12336993461973958,-0.0854911467409517,0.3333333333333333,1.5,-1.1666666666666667,13.555555555555555,10.961538461538462
2008,non_action,11,53,0.026364119665555075,0.046980153181449984,-0.02061603351589491,0.36363636363636365,0.7169811320754716,-0.353344768439108,14.090909090909092,11.849056603773585
2009,action,9,15,0.07314814814814816,0.08555555555555555,-0.012407407407407395,1.0,1.2666666666666666,-0.2666666666666666,15.333333333333334,10.0
2009,non_action,10,59,0.030196078431372547,0.044996485508950884,-0.014800407077578338,0.5,0.5084745762711864,-0.008474576271186418,10.9,10.288135593220339
2010,action,8,22,0.03217418546365915,0.11761595430713077,-0.08544176884347163,0.5,1.3636363636363635,-0.8636363636363635,12.5,11.5
2010,non_action,12,48,0.02508567821067821,0.04388252409529005,-0.01879684588461184,0.4166666666666667,0.3333333333333333,0.08333333333333337,15.5,8.645833333333334
2011,action,9,24,0.14642456309122975,0.07326787186984555,0.0731566912213842,2.4444444444444446,0.75,1.6944444444444446,15.0,11.541666666666666
2011,non_action,11,51,0.028787878787878786,0.05926161022509907,-0.030473731437220285,0.18181818181818182,0.7254901960784313,-0.5436720142602496,9.272727272727273,12.666666666666666
2012,action,7,23,0.10283521303258146,0.06600649695719807,0.03682871607538339,1.2857142857142858,1.0434782608695652,0.24223602484472062,18.428571428571427,11.869565217391305
2012,non_action,12,44,0.024773755656108593,0.06655377450831995,-0.04178001885221136,0.5,0.8409090909090909,-0.34090909090909094,16.333333333333332,12.159090909090908
2013,action,12,30,0.09368027805527805,0.10770513011892323,-0.014024852063645177,1.0833333333333333,1.0333333333333334,0.04999999999999982,10.916666666666666,9.333333333333334
